battery_id,policy
1,3_6C-80PER_3_6C
2,3_6C-80PER_3_6C
3,3_6C-80PER_3_6C
4,3_6C-80PER_3_6C
5,3_6C-80PER_3_6C
6,3_6C-80PER_3_6C
7,4_8C_80PER_4_8C
8,4_8C_80PER_4_8C
9,4_8C_80PER_4_8C
10,5C_67PER_4C
11,5_3C_54PER_4C
12,5_6C_19PER_4_6C
13,5_6C_36PER_4_3C
14,5_6C_19PER_4_6C
15,5_6C_36PER_4_3C
16,3_7C_31PER_5_9C
17,4_8C_80PER_4_8C
18,5C_67PER_4C
19,5_3C_54PER_4C
20,4_8C_80PER_4_8C
21,5_6C_19PER_4_6C
22,5_6C_36PER_4_3C
23,5_6C_19PER_4_6C
24,5_6C_36PER_4_3C
25,4_8C_80PER_4_8C
26,5_3C_54PER_4C
27,5_6C_19PER_4_6C
28,5_6C_36PER_4_3C
29,5C_67PER_4C
30,3_7C_31PER_5_9C
31,5C_67PER_4C
32,5_3C_54PER_4C
33,5_6C_19PER_4_6C
34,5_6C_36PER_4_3C
35,3_7C_31PER_5_9C
36,5_3C_54PER_4C
37,5C_67PER_4C
38,5_3C_54PER_4C
39,5_6C_19PER_4_6C
40,5_6C_36PER_4_3C
41,4_8C_80PER_4_8C
42,5C_67PER_4C
43,5_3C_54PER_4C
44,5_6C_19PER_4_6C
45,5_6C_36PER_4_3C
46,4_8C_80PER_4_8C
47,5C_67PER_4C
48,5_3C_54PER_4C
49,4_8C_80PER_4_8C
