model,subset,n_cells,eol080_n,eol080_mae,eol080_rmse,eol080_median_ae,eol080_bias,eol088_n,eol088_mae,eol088_rmse,eol088_median_ae,eol088_bias,eol088_mape,soh200_mae_matr,soh500_mae_matr,rmse_151_200_mean,usage_boundary
fusion_pbt_batterygpt,all_mapped,45,6,1811.359194721863,2266.7528987755327,1268.2773303411195,1811.359194721863,45,4213.693038728165,4656.413513497055,4350.641028021332,4200.22031048713,4.019108966409379,0.008225610395980208,0.008634828429255259,0.007135486284587262,audit_only_not_for_training_or_tuning
fusion_pbt_batterygpt,high_medium,40,5,1256.2264673850634,1399.159302495968,992.847864071883,1256.2264673850634,40,4227.437348974862,4703.318587519114,4235.5390922141605,4212.280529703696,4.2195085802433425,0.00843296468464189,0.008788717419317105,0.00727893716969954,audit_only_not_for_training_or_tuning
fusion_pbt_batterygpt,test_mapped,9,2,725.2764241949706,760.5610767404869,725.2764241949706,725.2764241949706,9,3975.353985242562,4427.10581298046,5153.159498605885,3975.353985242562,3.526329967925195,0.01153565878129771,0.0031033637958214977,0.009951140661707809,audit_only_not_for_training_or_tuning
fusion_pbt_batterygpt,train_mapped,36,4,2354.4005799853094,2723.60541937238,1918.865812231746,2354.4005799853094,36,4273.2778020995665,4711.997139325973,4067.0969415431655,4256.436891798271,4.142303716030425,0.007374455096898564,0.009773659383197504,0.006431572690307125,audit_only_not_for_training_or_tuning
fusion_pbt_batterygpt,has_eol_label,45,6,1811.359194721863,2266.7528987755327,1268.2773303411195,1811.359194721863,45,4213.693038728165,4656.413513497055,4350.641028021332,4200.22031048713,4.019108966409379,0.008225610395980208,0.008634828429255259,0.007135486284587262,audit_only_not_for_training_or_tuning
linear_recent,all_mapped,45,6,1988.586134703023,2400.2339135145785,1443.7375020566399,1988.586134703023,45,5399.82424076566,6016.2606292533765,5301.576552334286,5392.3990934336825,5.116523527222106,0.007971314236129312,0.009408792451927418,0.007011812494657262,audit_only_not_for_training_or_tuning
linear_recent,high_medium,40,5,1474.0232092511637,1658.9370166635385,1207.697637049073,1474.0232092511637,40,5451.313851126541,6103.299311137493,5469.176794289655,5442.960560378067,5.394367027731733,0.008179354328665792,0.009723554700943283,0.007153264839854609,audit_only_not_for_training_or_tuning
linear_recent,test_mapped,9,2,845.9215262478708,919.6795968789704,845.9215262478708,845.9215262478708,9,5179.427376699345,5784.738167966556,6402.089386034306,5179.427376699345,4.588594091391083,0.011329844324487224,0.004337229731132676,0.009856222149601211,audit_only_not_for_training_or_tuning
linear_recent,train_mapped,36,4,2559.918438930599,2866.841289454394,2235.287678355502,2559.918438930599,36,5454.923456782239,6072.762224136395,5247.748780002059,5445.642022617268,5.248505886179862,0.007107692213408707,0.010452937717973395,0.006300710080921278,audit_only_not_for_training_or_tuning
linear_recent,has_eol_label,45,6,1988.586134703023,2400.2339135145785,1443.7375020566399,1988.586134703023,45,5399.82424076566,6016.2606292533765,5301.576552334286,5392.3990934336825,5.116523527222106,0.007971314236129312,0.009408792451927418,0.007011812494657262,audit_only_not_for_training_or_tuning
persist,all_mapped,45,6,19763.2290300098,19767.37895583189,19527.332588922312,19763.2290300098,45,18913.044444444444,18917.696806605887,18986.0,18913.044444444444,20.137331577714413,0.006772773587981673,0.019388215347730147,0.006315793431008573,audit_only_not_for_training_or_tuning
persist,high_medium,40,5,19715.905740265596,19720.556815301552,19526.93303079082,19715.905740265596,40,18995.825,18998.822193099237,19036.5,18995.825,21.256126306372334,0.006952265964566978,0.02051754149059801,0.006436734206380181,audit_only_not_for_training_or_tuning
persist,test_mapped,9,2,19491.59194999258,19491.625454508896,19491.59194999258,19491.59194999258,9,18875.11111111111,18881.2716615051,18953.0,18875.11111111111,20.41203433447772,0.01047219247907506,0.017443540691396087,0.009441123758842452,audit_only_not_for_training_or_tuning
persist,train_mapped,36,4,19899.04757001841,19903.823118832435,19763.38925476082,19899.04757001841,36,18922.527777777777,18926.792139568828,18999.0,18922.527777777777,20.06865588852359,0.005821494444557659,0.019788589541681275,0.005534460849050104,audit_only_not_for_training_or_tuning
persist,has_eol_label,45,6,19763.2290300098,19767.37895583189,19527.332588922312,19763.2290300098,45,18913.044444444444,18917.696806605887,18986.0,18913.044444444444,20.137331577714413,0.006772773587981673,0.019388215347730147,0.006315793431008573,audit_only_not_for_training_or_tuning
policy_mean,all_mapped,45,6,9897.188946475282,11867.945747206259,9846.316924390736,9897.188946475282,45,9381.121976041233,10401.517387948603,9483.579140691549,9381.121976041233,10.013296161634031,0.007701197952768537,0.011922401231708842,0.006879530538445565,audit_only_not_for_training_or_tuning
policy_mean,high_medium,40,5,11140.579712541436,12896.082250371106,10065.699694853482,11140.579712541436,40,10266.04665675832,10999.818549882144,9799.859351693736,10266.04665675832,11.079144184031062,0.007790343211660685,0.011800109113046178,0.00694639135086578,audit_only_not_for_training_or_tuning
policy_mean,test_mapped,9,2,5104.237403346326,6819.679271596398,5104.237403346326,5104.237403346326,9,7685.512557686982,8872.683366601928,8899.539708889675,7685.512557686982,8.42754895203438,0.011737547352537712,0.006292333674150148,0.010084291110532578,audit_only_not_for_training_or_tuning
policy_mean,train_mapped,36,4,12293.66471803976,13711.972567950459,12793.839635165834,12293.66471803976,36,9805.024330629796,10749.805925399432,9721.547918602419,9805.024330629796,10.409732964033946,0.006663279535685034,0.013081532787676809,0.00607834039542381,audit_only_not_for_training_or_tuning
policy_mean,has_eol_label,45,6,9897.188946475282,11867.945747206259,9846.316924390736,9897.188946475282,45,9381.121976041233,10401.517387948603,9483.579140691549,9381.121976041233,10.013296161634031,0.007701197952768537,0.011922401231708842,0.006879530538445565,audit_only_not_for_training_or_tuning
