battery_id,global_id,dataset_id,prediction_test,policy,policy_raw,hypothesized_cell,matched_cell,is_hypothesized,align_offset,align_rmse,n_overlap,continuation,documented_offset,usage_boundary,match_confidence,matr_label_key,external_eol_088
1,1,1,0,3_6C-80PER_3_6C,3_6C-80PER_3_6C,b1c0,b1c0,1,11.0,0.10852692265024619,150,0,,audit_only_not_for_training_or_tuning,low,MATR_b1c0.pkl,1858.0
2,2,1,1,3_6C-80PER_3_6C,3_6C-80PER_3_6C,b1c1,b1c1,1,1.0,0.30767133058890656,150,0,,audit_only_not_for_training_or_tuning,low,MATR_b1c1.pkl,2154.0
3,3,1,0,3_6C-80PER_3_6C,3_6C-80PER_3_6C,b1c2,b1c2,1,1.0,0.30783656604801257,150,0,,audit_only_not_for_training_or_tuning,low,MATR_b1c2.pkl,2237.0
4,54,2,0,3_6C-80PER_3_6C,80PER_3_6C,b1c0,b1c0,1,582.0,0.007323856155485824,150,1,662.0,audit_only_not_for_training_or_tuning,medium,MATR_b1c0.pkl,1858.0
5,55,2,1,3_6C-80PER_3_6C,80PER_3_6C,b1c1,b1c1,1,901.0,0.025379893530214383,150,1,981.0,audit_only_not_for_training_or_tuning,low,MATR_b1c1.pkl,2154.0
6,56,2,0,3_6C-80PER_3_6C,80PER_3_6C,b1c2,b1c2,1,980.0,0.029207848679549158,150,1,1060.0,audit_only_not_for_training_or_tuning,low,MATR_b1c2.pkl,2237.0
7,71,2,0,4_8C_80PER_4_8C,4_8C_80PER_4_8C,b2c24,b2c24,1,11.0,0.0037915096722871294,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b2c24.pkl,494.0
8,72,2,0,4_8C_80PER_4_8C,4_8C_80PER_4_8C,b2c25,b2c25,1,3.0,0.0030732354862684722,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b2c25.pkl,460.0
9,73,2,1,4_8C_80PER_4_8C,4_8C_80PER_4_8C,b2c26,b2c26,1,11.0,0.0029180947815700374,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b2c26.pkl,470.0
10,95,3,1,5C_67PER_4C,5C_67PER_4C_NEWSTRUCTURE,b3c0,b3c0,1,-2.0,0.002468977094069241,148,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c0.pkl,1007.0
