outer_fold,stage,ablation,sequence_length,inner_train_batteries,inner_validation_batteries,inner_validation_MAE,inner_validation_RMSE,best_epoch,epochs_run,parameter_count,runtime_seconds,reused_from_ablation_stage
0,ablation,A_SOH_only,50,25,7,0.0005739462299871175,0.0013006639114625828,28,30,5630,3.4731507999968017,
0,ablation,B_multivariate,50,25,7,0.0009492249490685516,0.001750931365360879,9,14,6142,1.0238685999938753,
0,ablation,C_multivariate_policy,50,25,7,0.0009454730433648118,0.001872408945156715,7,12,6174,0.9811083999957191,
0,sequence_length,A_SOH_only,50,25,7,0.0005739462299871175,0.0013006639114625828,28,30,5630,3.4731507999968017,True
0,sequence_length,A_SOH_only,20,25,7,0.0009467732391706918,0.0018870276213539625,11,16,5630,0.8736590999906184,False
0,sequence_length,A_SOH_only,30,25,7,0.000999143277573088,0.001974704309160657,2,7,5630,0.6591095000039786,False
0,sequence_length,A_SOH_only,75,25,7,0.0009833303669669793,0.001973049640426356,3,8,5630,0.8260402000014437,False
0,sequence_length,A_SOH_only,100,25,7,0.0006285037406902889,0.0014017906192554195,30,30,5630,2.436412900002324,False
1,ablation,A_SOH_only,50,25,7,0.001198174023156703,0.002233935145831938,3,8,5630,0.7447759000060614,
1,ablation,B_multivariate,50,25,7,0.001157789282910814,0.00203901449229322,1,6,6142,0.6939321999961976,
1,ablation,C_multivariate_policy,50,25,7,0.0010979617615722087,0.0019844796567898746,2,7,6174,0.7372692999924766,
1,sequence_length,C_multivariate_policy,50,25,7,0.0010979617615722087,0.0019844796567898746,2,7,6174,0.7372692999924766,True
1,sequence_length,C_multivariate_policy,20,25,7,0.0010584136359338022,0.0019294666128968554,4,9,6174,0.6928215000079945,False
1,sequence_length,C_multivariate_policy,30,25,7,0.0010604225544194837,0.001923338508593016,3,8,6174,0.7154945000074804,False
1,sequence_length,C_multivariate_policy,75,25,7,0.0010574815736260608,0.0019461112192132343,6,11,6174,1.0407134999986738,False
1,sequence_length,C_multivariate_policy,100,25,7,0.0011326602303074562,0.002027523830234343,2,7,6174,0.8829951999941841,False
2,ablation,A_SOH_only,50,26,6,0.00048039034335171373,0.0008999076344432917,8,13,5630,1.032442900002934,
2,ablation,B_multivariate,50,26,6,0.0003229495865713463,0.0004262068891675851,15,20,6142,1.6328987999877427,
2,ablation,C_multivariate_policy,50,26,6,0.0003259255955918576,0.0004434815388761032,11,16,6174,1.4340311999985715,
2,sequence_length,B_multivariate,50,26,6,0.0003229495865713463,0.0004262068891675851,15,20,6142,1.6328987999877427,True
2,sequence_length,B_multivariate,20,26,6,0.0003495366546988422,0.000480476520380854,12,17,6142,1.1557769999926677,False
2,sequence_length,B_multivariate,30,26,6,0.00028431397526517847,0.00036957896894786874,18,23,6142,1.331816300007631,False
2,sequence_length,B_multivariate,75,26,6,0.0002182117610731743,0.000317417811937308,18,23,6142,1.8763617999939015,False
2,sequence_length,B_multivariate,100,26,6,0.0002726286351009768,0.00037014301893968166,19,24,6142,2.2160023000033107,False
3,ablation,A_SOH_only,50,26,6,0.00017166194837446854,0.0002453964317938312,22,27,5630,1.599997199999052,
3,ablation,B_multivariate,50,26,6,0.0006261326974724458,0.001272127918682189,10,15,6142,1.1068442999967374,
3,ablation,C_multivariate_policy,50,26,6,0.0006875867685284037,0.0014527159754583012,6,11,6174,0.9167673000047216,
3,sequence_length,A_SOH_only,50,26,6,0.00017166194837446854,0.0002453964317938312,22,27,5630,1.599997199999052,True
3,sequence_length,A_SOH_only,20,26,6,0.00015955491985846092,0.00022452673794164593,23,28,5630,1.306133599995519,False
3,sequence_length,A_SOH_only,30,26,6,0.00018439782900315328,0.00024235407092337112,26,30,5630,1.4940276000124868,False
3,sequence_length,A_SOH_only,75,26,6,0.0001971371274287064,0.00027100305418774334,28,30,5630,2.1672079999989364,False
3,sequence_length,A_SOH_only,100,26,6,0.00020171603256737805,0.00028060889362711296,30,30,5630,2.525353199991514,False
4,ablation,A_SOH_only,50,26,6,0.0003238502374102323,0.0005250902538563594,25,30,5630,1.7237322000000859,
4,ablation,B_multivariate,50,26,6,0.0003847970704375093,0.0007324305809889462,2,7,6142,0.7579479000123683,
4,ablation,C_multivariate_policy,50,26,6,0.00037057406395031773,0.0007100801351316318,3,8,6174,0.7857324999931734,
4,sequence_length,A_SOH_only,50,26,6,0.0003238502374102323,0.0005250902538563594,25,30,5630,1.7237322000000859,True
4,sequence_length,A_SOH_only,20,26,6,0.00036920314809411734,0.0005552986166920666,21,26,5630,1.2111199999926612,False
4,sequence_length,A_SOH_only,30,26,6,0.0003658713944225591,0.0005907769191773272,16,21,5630,1.1429866000107722,False
4,sequence_length,A_SOH_only,75,26,6,0.0003582417334077996,0.0006153159199872164,19,24,5630,1.8421624999900814,False
4,sequence_length,A_SOH_only,100,26,6,0.00035432161037731114,0.0006175073062153014,16,21,5630,2.0496827000024496,False
