threshold,cutoff,model,n_cases,n_batteries,finite_future_rate,within_evaluation_range_rate,crossing_MAE_within_range,crossing_RMSE_within_range,median_absolute_error_within_range,penalized_crossing_MAE,interval_90_coverage,median_interval_width,n_valid_intervals
0.99,50,exponential,5,5,1.0,0.6,4.731003248988865,5.004967936408441,4.404020728968007,733.2386019493933,0.2,24.407329176064408,5
0.99,50,linear,5,5,1.0,0.6,4.5417953692088515,4.817216649830799,4.205147342724871,733.1250772215253,0.2,24.30485725461199,5
0.99,50,power,5,5,1.0,0.6,7.030489390292729,7.3837601374257105,6.516167565001709,734.6182936341755,0.6,1673623.4454289859,5
0.99,75,exponential,2,2,1.0,0.5,983.890404245316,983.890404245316,983.890404245316,1392.945202122658,0.0,89240516.79922032,2
0.99,75,linear,2,2,1.0,0.5,978.201618854916,978.201618854916,978.201618854916,1390.100809427458,0.0,88748775.66750962,2
0.99,75,power,2,2,1.0,0.5,6.169574941715837,6.169574941715837,6.169574941715837,904.0847874708579,0.5,1.9054163291088747e+38,2
0.99,100,exponential,2,2,1.0,0.5,175.3341291419195,175.3341291419195,175.3341291419195,988.6670645709597,0.0,43930569.75246461,2
0.99,100,linear,2,2,1.0,0.5,173.97172819003492,173.97172819003492,173.97172819003492,987.9858640950174,0.0,43684486.47726995,2
0.99,100,power,2,2,1.0,0.5,12.862513602932296,12.862513602932296,12.862513602932296,907.4312568014661,0.0,1.7668493850081498e+38,2
0.99,125,exponential,2,2,1.0,1.0,289.28033203011535,362.66509061704795,289.28033203011535,289.28033203011535,0.0,364.1087578426105,2
0.99,125,linear,2,2,1.0,1.0,287.3194483936724,360.35743785145706,287.3194483936724,287.3194483936724,0.0,361.8383836775313,2
0.99,125,power,2,2,1.0,1.0,5.574926367927304,6.455933470419776,5.574926367927304,5.574926367927304,0.5,16.469029933023577,2
0.99,150,exponential,1,1,1.0,1.0,203.18002547580886,203.18002547580886,203.18002547580886,203.18002547580886,0.0,122.89342933054024,1
0.99,150,linear,1,1,1.0,1.0,201.61183697716842,201.61183697716842,201.61183697716842,201.61183697716842,0.0,122.11592990168401,1
0.99,150,power,1,1,1.0,1.0,6.202137045120537,6.202137045120537,6.202137045120537,6.202137045120537,1.0,12.63827549848537,1
0.995,50,exponential,17,17,1.0,0.11764705882352941,1039.8812567435734,1112.392415539345,1039.8812567435734,1733.5154419698322,0.058823529411764705,45213519.689227305,17
0.995,50,linear,17,17,1.0,0.11764705882352941,1036.8536279719117,1109.2039071340128,1036.8536279719117,1733.1592503496367,0.058823529411764705,45090335.244527236,17
0.995,50,power,17,17,1.0,0.11764705882352941,64.77211933659551,64.8714854310244,64.77211933659551,1618.7967199219524,0.058823529411764705,2.2347922412379347e+37,17
0.995,75,exponential,17,17,1.0,0.5294117647058824,316.9002375113722,373.9787862567773,259.31011398306197,1023.5354198589617,0.0,39584838.78932694,17
0.995,75,linear,17,17,1.0,0.5294117647058824,315.8206516935319,372.81419899946985,258.37068042061816,1022.9638744259875,0.0,39465718.45096052,17
