ablation,cutoff,n_batteries,n_points,MAE,overall_RMSE,mean_battery_RMSE,median_battery_RMSE,worst_battery_RMSE
A_SOH_only,50,40,2000,0.0002980148436067471,0.0005320185542734813,0.00039679879922748814,0.0002624060801680174,0.001611423863117118
A_SOH_only,75,40,2000,0.0003292771760512217,0.0005865521970533611,0.00040034012932101126,0.00023771565496780048,0.0021547372676228543
A_SOH_only,100,40,2000,0.00035181748251004357,0.0006662009515209527,0.00042957608753139206,0.00023629497718254353,0.0027000797963264963
A_SOH_only,125,40,2000,0.0002656256532460952,0.0005452847137165433,0.00035747521575558267,0.0002145146077454126,0.002031127568879538
A_SOH_only,150,40,2000,0.0002808987149924809,0.0005612097621004584,0.00035769688238643406,0.00023776877487013137,0.002521839735744345
B_SOH_plus_dynamics,50,40,2000,0.00030023720305470377,0.0005533726630627918,0.0003984223813110118,0.00027545207819372784,0.001704988295899453
B_SOH_plus_dynamics,75,40,2000,0.00030862220851097947,0.000541315099874112,0.0003806863011672091,0.00024460308388208696,0.0019999856714050007
B_SOH_plus_dynamics,100,40,2000,0.0003742152728226191,0.0007056033933017307,0.0004603868991251324,0.00024867951629256797,0.0028624444598995945
B_SOH_plus_dynamics,125,40,2000,0.00028986468110967086,0.0005841669146029515,0.0003909491354374105,0.00023119335340420535,0.002023891742429304
B_SOH_plus_dynamics,150,40,2000,0.0002815037922995049,0.0005769507296036499,0.0003667770458721615,0.00019901364671523258,0.002489199492811111
C_plus_policy,50,40,2000,0.0003001992812923319,0.0005540404900081416,0.0003958968904225858,0.0002714323997070583,0.0016512420658406318
C_plus_policy,75,40,2000,0.0003057529684195816,0.0005362557110223124,0.0003777138231507414,0.0002472275212964339,0.0019530537554159834
C_plus_policy,100,40,2000,0.0003678897305750454,0.0006928710597217809,0.00045220348211449777,0.00024241108200158138,0.0027737665045402438
C_plus_policy,125,40,2000,0.00027906024567859425,0.0005664551236749417,0.0003734313496145898,0.00022314449430204812,0.0020702284112627018
C_plus_policy,150,40,2000,0.0002791270646152781,0.0005770532106696422,0.00036270268952757497,0.0001997676896217116,0.002468246567754184
