ablation,feature,mean_RMSE_increase,median_RMSE_increase,std_across_outer_folds,positive_fold_fraction,n_outer_folds
C_plus_policy,SOH_linear_delta_50,0.00016140024217872067,0.00010072633380199463,0.00020892798150147406,0.95,40
C_plus_policy,SOH_linear_delta_30,7.597051835409301e-05,2.2384360356874868e-05,0.00015967070065862516,0.875,40
C_plus_policy,forecast_horizon,7.005855577565255e-05,6.881963986953284e-05,6.87987675764309e-05,0.925,40
C_plus_policy,horizon_fraction,5.7477393442618334e-05,5.5377394293042655e-05,6.47816194793022e-05,0.875,40
C_plus_policy,SOH_linear_delta_20,1.9002811221739565e-05,2.43342116070769e-06,0.00010175604061897115,0.675,40
C_plus_policy,cutoff,9.52287764373197e-06,6.352447836378153e-06,1.8033092404319336e-05,0.7,40
C_plus_policy,SOH_delta_10,6.448300680567082e-06,9.44815711658684e-07,2.128010674018569e-05,0.65,40
C_plus_policy,SOH_linear_delta_10,5.056174921958557e-06,3.3585049528948635e-07,1.636671490547007e-05,0.525,40
C_plus_policy,SOH_delta_20,4.026052517536808e-06,0.0,1.789408902789684e-05,0.425,40
C_plus_policy,SOH_delta_30,3.6021206539679753e-06,6.159037432490531e-07,1.0071930138481757e-05,0.625,40
C_plus_policy,SOH_slope_50,1.8993137066966845e-06,2.7051316756337035e-07,5.666336048251967e-06,0.525,40
C_plus_policy,initial_capacity,1.6747407023537399e-06,3.8710440864715516e-07,6.301238757986784e-06,0.575,40
C_plus_policy,SOH_delta_50,1.5972589320876328e-06,3.56444848437405e-07,5.856715469574995e-06,0.625,40
C_plus_policy,policy__4_8C_80PER_4_8C,1.4254358944366556e-06,0.0,6.165673076810456e-06,0.475,40
C_plus_policy,SOH_variance,1.409938750454619e-06,9.787581273201752e-07,1.024227769138931e-05,0.6,40
C_plus_policy,Tavg_delta,1.401496948286659e-06,3.0868785714121183e-07,2.5591869658330874e-06,0.55,40
C_plus_policy,Tavg_std,1.0647939321025829e-06,2.897677384731067e-07,2.8807851647847074e-06,0.55,40
C_plus_policy,SOH_second_derivative,1.0381515935457979e-06,1.4395731868209211e-06,2.309176136955183e-06,0.625,40
C_plus_policy,policy__4_8C_80PER_4_8C_NEWSTRUCTURE,8.231926679738888e-07,8.166089081362068e-09,2.3885044317878268e-06,0.55,40
C_plus_policy,SOH_slope_30,8.032424046625404e-07,0.0,7.326170066822881e-06,0.45,40
C_plus_policy,IR_last,7.520878156940159e-07,0.0,2.501983520145926e-06,0.4,40
C_plus_policy,corr_SOH_IR,7.514305649541893e-07,0.0,2.582593551143383e-06,0.45,40
C_plus_policy,SOH_slope_20,7.155576041092459e-07,2.490741487350481e-07,2.352559214115089e-06,0.55,40
C_plus_policy,SOH_quadratic_curvature,5.830035812128223e-07,1.4013269837744166e-07,2.8006828317669432e-06,0.55,40
C_plus_policy,SOH_slope_10,5.715020937955785e-07,1.381924188915886e-08,4.5961631874565945e-06,0.5,40
C_plus_policy,Tavg_slope,5.189601729137865e-07,7.630454623255606e-09,3.6609076444686135e-06,0.5,40
C_plus_policy,policy__5_6C_19PER_4_6C_NEWSTRUCTURE,4.743412117884481e-07,0.0,5.314898738428064e-06,0.425,40
