ablation,cutoff,horizon_bin,MAE,RMSE
A_SOH_only,50,1-10,0.000224559700921034,0.0005505235808611192
A_SOH_only,50,11-20,0.000238399227927166,0.0005492046886257004
A_SOH_only,50,21-30,0.0002585223496051714,0.00033656915994483125
A_SOH_only,50,31-40,0.00034037623503471113,0.0005474991252721014
A_SOH_only,50,41-50,0.0004282167045456531,0.0006304622238992106
A_SOH_only,75,1-10,0.00017914688964393687,0.00037406914396207136
A_SOH_only,75,11-20,0.00021575803799696425,0.0002985650566368614
A_SOH_only,75,21-30,0.0002989830520941544,0.0004542620870036225
A_SOH_only,75,31-40,0.00041545101741936733,0.0006734250992962226
A_SOH_only,75,41-50,0.0005370468831016855,0.0009117528030011873
A_SOH_only,100,1-10,0.0002097067458607868,0.00041129784527873836
A_SOH_only,100,11-20,0.0002676063933187475,0.0004961010489850155
A_SOH_only,100,21-30,0.00031363691291514425,0.0004860733296016352
A_SOH_only,100,31-40,0.0004109211604685614,0.000737154273423862
A_SOH_only,100,41-50,0.000557216199986978,0.0010120141630061636
A_SOH_only,125,1-10,0.0001485511649871793,0.00029367489147780093
A_SOH_only,125,11-20,0.00023939793434087252,0.00047201216861530114
A_SOH_only,125,21-30,0.00020707014036949078,0.00035275348609928504
A_SOH_only,125,31-40,0.0003173294188805309,0.0005544037052478406
A_SOH_only,125,41-50,0.0004157796076524026,0.0008636192306285869
A_SOH_only,150,1-10,0.0001737321414593121,0.00031288583738372133
A_SOH_only,150,11-20,0.00022091005551046428,0.0004603470190344732
A_SOH_only,150,21-30,0.00028777892376071477,0.0006575435446558246
A_SOH_only,150,31-40,0.0002830639162062942,0.00044577066005027627
A_SOH_only,150,41-50,0.00043900853802561897,0.0007961721332317665
B_SOH_plus_dynamics,50,1-10,0.0002367903384031983,0.0005611401443133235
B_SOH_plus_dynamics,50,11-20,0.00025309845105282833,0.0005910871189282956
B_SOH_plus_dynamics,50,21-30,0.0002669078853799367,0.00038661049712759475
B_SOH_plus_dynamics,50,31-40,0.0003321603713616034,0.0005602628438835207
B_SOH_plus_dynamics,50,41-50,0.000412228969075952,0.000635202445427758
B_SOH_plus_dynamics,75,1-10,0.00017853072269635617,0.00038622634276748484
B_SOH_plus_dynamics,75,11-20,0.00021500256354190257,0.000290039515168649
B_SOH_plus_dynamics,75,21-30,0.0002693063280592634,0.0004002832957953131
B_SOH_plus_dynamics,75,31-40,0.00038423624627666577,0.000617947047850876
B_SOH_plus_dynamics,75,41-50,0.0004960351819807096,0.0008305005765870465
B_SOH_plus_dynamics,100,1-10,0.00020456821781351996,0.000401158959577675
B_SOH_plus_dynamics,100,11-20,0.0002929094127698453,0.0005255322554356227
B_SOH_plus_dynamics,100,21-30,0.0003234465458135982,0.0004973795488439023
B_SOH_plus_dynamics,100,31-40,0.00043836541711157474,0.0007880106696463759
B_SOH_plus_dynamics,100,41-50,0.0006117867706045574,0.0010880812698310705
B_SOH_plus_dynamics,125,1-10,0.00015686309644410813,0.0003194851350243842
B_SOH_plus_dynamics,125,11-20,0.000263405105988162,0.000505325945818547
B_SOH_plus_dynamics,125,21-30,0.00021549811226511284,0.00034669371995852224
B_SOH_plus_dynamics,125,31-40,0.0003447643866350403,0.0005820142918912722
B_SOH_plus_dynamics,125,41-50,0.00046879270421593095,0.0009433412352591852
B_SOH_plus_dynamics,150,1-10,0.00017450034282264827,0.00031122236759553495
B_SOH_plus_dynamics,150,11-20,0.00023017174255155233,0.0004660205787164929
B_SOH_plus_dynamics,150,21-30,0.00025573104135935055,0.000636042448467666
B_SOH_plus_dynamics,150,31-40,0.00028422459850922706,0.0004670757542135488
B_SOH_plus_dynamics,150,41-50,0.0004628912362547466,0.0008530043514806915
C_plus_policy,50,1-10,0.0002393575911524262,0.0005687974493794376
C_plus_policy,50,11-20,0.00025152172275031554,0.0005824380011156501
C_plus_policy,50,21-30,0.00027353959740569896,0.00038510656028292885
C_plus_policy,50,31-40,0.00033592992054402,0.0005659554186624508
C_plus_policy,50,41-50,0.0004006475746091986,0.0006351591616215741
C_plus_policy,75,1-10,0.00018187839432692087,0.00039510007764753327
C_plus_policy,75,11-20,0.00021412451249677277,0.0002837198394391075
C_plus_policy,75,21-30,0.00026396593776530585,0.0003921822987336696
C_plus_policy,75,31-40,0.00037321241763621645,0.0006173935010216685
C_plus_policy,75,41-50,0.000495583579872692,0.0008162525521111537
C_plus_policy,100,1-10,0.00021069303789101934,0.00041289496213392507
C_plus_policy,100,11-20,0.00028043276382445166,0.0005043232018192036
C_plus_policy,100,21-30,0.0003102877062711176,0.0004863611520831788
C_plus_policy,100,31-40,0.000433885109835723,0.0007804022135035668
C_plus_policy,100,41-50,0.0006041500350529152,0.0010629922860746573
C_plus_policy,125,1-10,0.0001503270090866482,0.00030441003538852275
C_plus_policy,125,11-20,0.0002477456054602567,0.00048499944320915607
C_plus_policy,125,21-30,0.00021722852186639553,0.00034730586701148573
C_plus_policy,125,31-40,0.00033595928939105234,0.0005917552624728535
C_plus_policy,125,41-50,0.0004440408025886186,0.0008975920288219022
C_plus_policy,150,1-10,0.00017299480588395255,0.0003123072403157604
C_plus_policy,150,11-20,0.0002242520374967888,0.000468294413087077
C_plus_policy,150,21-30,0.0002784313092789148,0.0006397524805954922
C_plus_policy,150,31-40,0.0002929025746693162,0.0004910497093540776
C_plus_policy,150,41-50,0.0004270545957474181,0.0008352864877116633
