outer_battery_id,selection_feature_set,selected_config,selected_inner_composite_RMSE,all_inner_scores
1,C_plus_policy,extra_trees,0.0002888812377437,"{""extra_trees"": 0.0002888812377437634, ""hist_gradient_boosting"": 0.0004034061025698258, ""random_forest"": 0.00033770089114982, ""xgboost"": 0.0003884552750911984}"
3,C_plus_policy,extra_trees,0.0005601937678579,"{""extra_trees"": 0.0005601937678579404, ""hist_gradient_boosting"": 0.0005970234223901161, ""random_forest"": 0.0005982916532747933, ""xgboost"": 0.0006730159559292046}"
4,C_plus_policy,random_forest,0.0006754970547453,"{""extra_trees"": 0.0007083901924968783, ""hist_gradient_boosting"": 0.0006980968270191297, ""random_forest"": 0.0006754970547453547, ""xgboost"": 0.0007596268178415287}"
6,C_plus_policy,random_forest,0.0005035925415162,"{""extra_trees"": 0.0006317846244166181, ""hist_gradient_boosting"": 0.0005418413626814911, ""random_forest"": 0.0005035925415162613, ""xgboost"": 0.0005315493908774261}"
7,C_plus_policy,random_forest,0.0012728418070915,"{""extra_trees"": 0.00135554202040255, ""hist_gradient_boosting"": 0.002056672670887923, ""random_forest"": 0.0012728418070915427, ""xgboost"": 0.0022048582550154685}"
8,C_plus_policy,random_forest,0.0006249291565142,"{""extra_trees"": 0.0007482376381044199, ""hist_gradient_boosting"": 0.0006374040360439693, ""random_forest"": 0.0006249291565142184, ""xgboost"": 0.0006422130308749175}"
12,C_plus_policy,random_forest,0.0003948166092132,"{""extra_trees"": 0.0006871670933142536, ""hist_gradient_boosting"": 0.00046142400520901724, ""random_forest"": 0.0003948166092132489, ""xgboost"": 0.0004034150001709273}"
13,C_plus_policy,random_forest,0.0005804928139021,"{""extra_trees"": 0.0006055292526301293, ""hist_gradient_boosting"": 0.0005857284729303009, ""random_forest"": 0.0005804928139021935, ""xgboost"": 0.0006144263983705485}"
15,C_plus_policy,random_forest,0.0006937388545115,"{""extra_trees"": 0.0007548276865681424, ""hist_gradient_boosting"": 0.0007174640444618059, ""random_forest"": 0.0006937388545115057, ""xgboost"": 0.000719928273899848}"
17,C_plus_policy,random_forest,0.0005141845228729,"{""extra_trees"": 0.0005992507996731913, ""hist_gradient_boosting"": 0.0008000985034094747, ""random_forest"": 0.0005141845228729756, ""xgboost"": 0.0008679541918002003}"
18,C_plus_policy,random_forest,0.0003547365289436,"{""extra_trees"": 0.00043976297608659475, ""hist_gradient_boosting"": 0.00039576980409373823, ""random_forest"": 0.0003547365289436187, ""xgboost"": 0.0004372131515148027}"
19,C_plus_policy,random_forest,0.0002936035776688,"{""extra_trees"": 0.0005347135363747836, ""hist_gradient_boosting"": 0.0004099739396473353, ""random_forest"": 0.0002936035776688181, ""xgboost"": 0.0004232830953749708}"
20,C_plus_policy,xgboost,0.0006133064008784,"{""extra_trees"": 0.000691862273941288, ""hist_gradient_boosting"": 0.0006368840012779698, ""random_forest"": 0.0006774718462468169, ""xgboost"": 0.0006133064008784838}"
21,C_plus_policy,extra_trees,0.0006380457516381,"{""extra_trees"": 0.000638045751638152, ""hist_gradient_boosting"": 0.0006948515962127082, ""random_forest"": 0.0006407919152527514, ""xgboost"": 0.0007149255562486324}"
22,C_plus_policy,random_forest,0.0003380011865174,"{""extra_trees"": 0.0005242311983394696, ""hist_gradient_boosting"": 0.00039997328841809976, ""random_forest"": 0.00033800118651746965, ""xgboost"": 0.0003623190874357077}"
23,C_plus_policy,extra_trees,0.0002447182527539,"{""extra_trees"": 0.00024471825275394277, ""hist_gradient_boosting"": 0.00027856944050554295, ""random_forest"": 0.0002611713780080947, ""xgboost"": 0.00034571154050241026}"
26,C_plus_policy,random_forest,0.0004381558617848,"{""extra_trees"": 0.0005828102833027503, ""hist_gradient_boosting"": 0.0005010571273910097, ""random_forest"": 0.00043815586178488626, ""xgboost"": 0.000484981031064552}"
27,C_plus_policy,xgboost,0.0005858413333384,"{""extra_trees"": 0.0007123956334345308, ""hist_gradient_boosting"": 0.0006183439684420669, ""random_forest"": 0.0006253092874074645, ""xgboost"": 0.0005858413333384803}"
28,C_plus_policy,xgboost,0.0004159566414385,"{""extra_trees"": 0.0005044173646641018, ""hist_gradient_boosting"": 0.00041948515963290806, ""random_forest"": 0.00042824597065189664, ""xgboost"": 0.0004159566414385777}"
29,C_plus_policy,extra_trees,0.0004955875481808,"{""extra_trees"": 0.0004955875481808971, ""hist_gradient_boosting"": 0.0009780872022305998, ""random_forest"": 0.0005295656677663169, ""xgboost"": 0.001040861136779067}"
30,C_plus_policy,hist_gradient_boosting,0.0005679350711062,"{""extra_trees"": 0.000608267999906007, ""hist_gradient_boosting"": 0.0005679350711062732, ""random_forest"": 0.0005813910132708219, ""xgboost"": 0.0006167007490449594}"
31,C_plus_policy,random_forest,0.0006805560952447,"{""extra_trees"": 0.0007334979774790494, ""hist_gradient_boosting"": 0.0009802460729652646, ""random_forest"": 0.0006805560952447484, ""xgboost"": 0.0010215585139099238}"
32,C_plus_policy,extra_trees,0.0007552929360186,"{""extra_trees"": 0.0007552929360186192, ""hist_gradient_boosting"": 0.0008718079540240911, ""random_forest"": 0.0007771246503805031, ""xgboost"": 0.0009436306064433341}"
33,C_plus_policy,extra_trees,0.0011041464096858,"{""extra_trees"": 0.0011041464096858745, ""hist_gradient_boosting"": 0.0019775506566146726, ""random_forest"": 0.0012554691279685194, ""xgboost"": 0.0021425160450130386}"
