ablation,cutoff,policy,n_batteries,MAE,RMSE
A_SOH_only,50,3_6C-80PER_3_6C,2,0.0002723002569892963,0.00036113960679475134
A_SOH_only,50,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0005449905622289286,0.0008518366935455568
A_SOH_only,50,4_8C_80PER_4_8C,2,0.0007213300334320206,0.0008783169567395243
A_SOH_only,50,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.000355784086248943,0.0007937524655177099
A_SOH_only,50,5C_67PER_4C_NEWSTRUCTURE,6,0.00025369419067986215,0.00031862773229260783
A_SOH_only,50,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00012582671618700716,0.00017372662354286849
A_SOH_only,50,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00020178787980108305,0.00026609846940788153
A_SOH_only,50,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002492391472296159,0.0003101530843391884
A_SOH_only,50,80PER_3_6C,2,0.0007521451305607818,0.001209778208002219
A_SOH_only,75,3_6C-80PER_3_6C,2,0.00018261945046399553,0.0002614695971783011
A_SOH_only,75,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.000913698162495371,0.001248947115642567
A_SOH_only,75,4_8C_80PER_4_8C,2,0.0009190330616251596,0.0011307127566588466
A_SOH_only,75,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0004337076979750445,0.0005483512344210536
A_SOH_only,75,5C_67PER_4C_NEWSTRUCTURE,6,0.0001638071130257531,0.00023134847479478344
A_SOH_only,75,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00018243390553028785,0.0002441562189790467
A_SOH_only,75,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00021200822660609011,0.00026254979653387607
A_SOH_only,75,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00018393047158115516,0.00022330234332688307
A_SOH_only,75,80PER_3_6C,2,0.0009701981494136713,0.0015612187227159195
A_SOH_only,100,3_6C-80PER_3_6C,2,0.00034112497557055034,0.0005896448361112844
A_SOH_only,100,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0009076206379701856,0.0012371729362884952
A_SOH_only,100,4_8C_80PER_4_8C,2,0.0004364804179186743,0.0005480392645845784
A_SOH_only,100,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007393325262596235,0.0009357429184092067
A_SOH_only,100,5C_67PER_4C_NEWSTRUCTURE,6,0.00016394922515495792,0.00019948222599959636
A_SOH_only,100,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0001405376924003697,0.00018988631076373834
A_SOH_only,100,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00017190690698628172,0.0002482843447164727
A_SOH_only,100,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00018605774455945768,0.0002503082118821273
A_SOH_only,100,80PER_3_6C,2,0.001266186423816147,0.001956575137196272
A_SOH_only,125,3_6C-80PER_3_6C,2,0.0006655134469418711,0.0014499177620194417
A_SOH_only,125,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0008418429648377091,0.001181313306035376
A_SOH_only,125,4_8C_80PER_4_8C,2,0.0005990683352260462,0.0007840121937531146
A_SOH_only,125,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00016717025855479583,0.0002599446578161408
A_SOH_only,125,5C_67PER_4C_NEWSTRUCTURE,6,0.00011937940172540499,0.00015437344994883367
A_SOH_only,125,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00014927326806900913,0.00021147698487615867
