cutoff,config,mean_kind,kernel_kind,length_scale,overall_RMSE,MAE,mean_battery_RMSE,worst_battery_RMSE
50,linear+rbf(ell=10),linear,rbf,10.0,0.001537104114126316,0.0012121027491182868,0.001397257432594929,0.003558961548433168
50,linear+rbf(ell=30),linear,rbf,30.0,0.001618953154494074,0.001277754658225835,0.0015041039583351865,0.0031863477669559896
50,linear+rbf(ell=60),linear,rbf,60.0,0.000991491105457413,0.0007406279256471501,0.0008343207979889785,0.0019116493029910323
50,linear+matern32(ell=10),linear,matern32,10.0,0.0015224906438864676,0.0011989842751030121,0.0013854483113180762,0.003273081615342619
50,linear+matern32(ell=30),linear,matern32,30.0,0.0013890500054165866,0.00105263408264233,0.001260403157791031,0.003081776938608936
50,linear+matern32(ell=60),linear,matern32,60.0,0.0011908084371402253,0.0008775897334387579,0.0010693775313778142,0.002921916138284447
50,linear+matern52(ell=10),linear,matern52,10.0,0.001535188378289058,0.001203399608264926,0.0013904464302512034,0.003548292740740309
50,linear+matern52(ell=30),linear,matern52,30.0,0.001346044179137181,0.0010091908016657846,0.0012236022115343277,0.0030700228945046357
50,linear+matern52(ell=60),linear,matern52,60.0,0.001034225336487402,0.0007379014645521163,0.0009169345125851798,0.0027188127311960084
50,power+rbf(ell=10),power,rbf,10.0,0.0009607241918333715,0.0006544070083942082,0.0008127382592122501,0.0023251135347648346
50,power+rbf(ell=30),power,rbf,30.0,0.0011259522690107015,0.0008048184520100161,0.0009785381282076244,0.0026535421538489245
50,power+rbf(ell=60),power,rbf,60.0,0.001123697345798507,0.0007804208488760071,0.0009309372454372489,0.0026065373904322563
50,power+matern32(ell=10),power,matern32,10.0,0.0009617685004333191,0.0006371510786234775,0.0008045187554260918,0.0023351217250521896
50,power+matern32(ell=30),power,matern32,30.0,0.0009322346304385527,0.0006264287924555866,0.0007927174792162388,0.002236413607680206
50,power+matern32(ell=60),power,matern32,60.0,0.0009314252458538296,0.0006254252474203159,0.000781972725581348,0.0022572877479879513
50,power+matern52(ell=10),power,matern52,10.0,0.000968973823209154,0.0006443371148898994,0.0008113731985749571,0.002331856415008992
50,power+matern52(ell=30),power,matern52,30.0,0.0009427250330588284,0.0006404658195841959,0.0008005987998423086,0.002210463893118229
50,power+matern52(ell=60),power,matern52,60.0,0.0009084202323193901,0.0005864228619887778,0.0007337602201991963,0.0023543301787259086
50,exponential+rbf(ell=10),exponential,rbf,10.0,0.001103524479986973,0.0007351227845125147,0.0008974839246761703,0.003578032699574939
50,exponential+rbf(ell=30),exponential,rbf,30.0,0.001271840080370895,0.0009047054197366544,0.0010964677143677378,0.0031939225811278855
50,exponential+rbf(ell=60),exponential,rbf,60.0,0.001178151895922182,0.0007543633089347142,0.0008927181132989835,0.003906821502902882
50,exponential+matern32(ell=10),exponential,matern32,10.0,0.0011029755968451742,0.0007130910048831064,0.0008862148381150455,0.0035953597634711247
50,exponential+matern32(ell=30),exponential,matern32,30.0,0.0010629084341193704,0.0006877019836422426,0.0008627880677862052,0.0034754119005859442
50,exponential+matern32(ell=60),exponential,matern32,60.0,0.0010339948175978756,0.0006586221204365097,0.0008215781086603492,0.003403736608781453
50,exponential+matern52(ell=10),exponential,matern52,10.0,0.001109539010536966,0.00072126091403274,0.0008935079877535609,0.003590847597488059
50,exponential+matern52(ell=30),exponential,matern52,30.0,0.0010652070118401522,0.000692331081499817,0.0008619496941824645,0.003462266674957149
50,exponential+matern52(ell=60),exponential,matern52,60.0,0.0009835867352705472,0.000592804457956438,0.0007444498141153321,0.0033368382278032246
75,linear+rbf(ell=10),linear,rbf,10.0,0.0006771865600123078,0.00047895819355730216,0.0005598469084919542,0.0016075597727344096
75,linear+rbf(ell=30),linear,rbf,30.0,0.0005834909073288039,0.00038100006271686994,0.00045837242885413186,0.001737004930291961
75,linear+rbf(ell=60),linear,rbf,60.0,0.0004905402662687048,0.00032129856146578193,0.00039889417992484565,0.0014830208796256011
75,linear+matern32(ell=10),linear,matern32,10.0,0.00063247651348208,0.00043822093239088885,0.0005195589936845211,0.001608216833266657
75,linear+matern32(ell=30),linear,matern32,30.0,0.0006069560851732427,0.0004077972582533257,0.0004941357957305157,0.001699205215391569
75,linear+matern32(ell=60),linear,matern32,60.0,0.0005335084937728168,0.0003423596990273952,0.0004225209597818628,0.0016342489069501053
75,linear+matern52(ell=10),linear,matern52,10.0,0.0006380751455661104,0.0004436209628613494,0.000524420431232701,0.0016106106901004227
75,linear+matern52(ell=30),linear,matern52,30.0,0.0005944726324627607,0.0003950151039026627,0.00048226694177751016,0.0017501118687283574
75,linear+matern52(ell=60),linear,matern52,60.0,0.0005000135193355649,0.0003117704843435629,0.0003838962012206134,0.0015853221468656493
75,power+rbf(ell=10),power,rbf,10.0,0.0009731720296476489,0.0006950052603311043,0.0008547821686139235,0.0021831230813003327
75,power+rbf(ell=30),power,rbf,30.0,0.0009336719195929123,0.0006125904942380065,0.0007768969139408984,0.002120492157460424
75,power+rbf(ell=60),power,rbf,60.0,0.000987602568251693,0.0006885002275204406,0.0008391860651171784,0.0024143751564622644
75,power+matern32(ell=10),power,matern32,10.0,0.000955830984058259,0.000672769622552371,0.0008340593391224065,0.0021795799346861554
75,power+matern32(ell=30),power,matern32,30.0,0.0009373683233027873,0.0006416620540148615,0.0008081961794876091,0.002168313074959285
75,power+matern32(ell=60),power,matern32,60.0,0.0009135482273070625,0.0006040729341450292,0.0007646123396395813,0.0021601655338180114
75,power+matern52(ell=10),power,matern52,10.0,0.000957753728970587,0.00067539946066925,0.0008363944063198677,0.002179669578824828
75,power+matern52(ell=30),power,matern52,30.0,0.0009329161677010411,0.000631403930750525,0.0007968907626034622,0.0021538938563314893
75,power+matern52(ell=60),power,matern52,60.0,0.0008946680325412808,0.000590104763746717,0.0007457862579380797,0.0021541726823362745
75,exponential+rbf(ell=10),exponential,rbf,10.0,0.001408466910126838,0.0009494804636881903,0.001190914761949516,0.003428844859671884
75,exponential+rbf(ell=30),exponential,rbf,30.0,0.001355185809516209,0.0007955863580985463,0.0010409814752227692,0.0034643415259010824
75,exponential+rbf(ell=60),exponential,rbf,60.0,0.0014067675401165127,0.0008514979491749961,0.001074990502443383,0.0034044145849333528
75,exponential+matern32(ell=10),exponential,matern32,10.0,0.0013966761488863194,0.0009301275441789507,0.001173662342941474,0.0034280322119867317
75,exponential+matern32(ell=30),exponential,matern32,30.0,0.0013668299008314823,0.0008690626801300526,0.0011227947307685612,0.003432611670222296
75,exponential+matern32(ell=60),exponential,matern32,60.0,0.0013359389295859113,0.0008020973348069169,0.0010461954530921536,0.0034191876142561665
75,exponential+matern52(ell=10),exponential,matern52,10.0,0.0013978429931336305,0.0009324084941123008,0.0011758693150199344,0.0034277891622049254
75,exponential+matern52(ell=30),exponential,matern52,30.0,0.0013577917459753608,0.0008451206950808106,0.0010994210260371236,0.003444196983526646
75,exponential+matern52(ell=60),exponential,matern52,60.0,0.0013106887597348147,0.0007578355343736324,0.0009922446230265218,0.00336448858740983
100,linear+rbf(ell=10),linear,rbf,10.0,0.0006275975462446155,0.0003567808589794447,0.0004467605789136737,0.0021769693157051486
100,linear+rbf(ell=30),linear,rbf,30.0,0.0007606073658722708,0.00044157158787780154,0.0005251662930436657,0.0023040952253599338
100,linear+rbf(ell=60),linear,rbf,60.0,0.0006013330880977982,0.00036575717657973556,0.0004619932615500469,0.0021825607048806092
100,linear+matern32(ell=10),linear,matern32,10.0,0.0005849456884166857,0.00031641623730527247,0.0004045477473684098,0.0021759897201994397
100,linear+matern32(ell=30),linear,matern32,30.0,0.0006015590884376207,0.0003327324118520694,0.00041765832080167803,0.002227317488116409
100,linear+matern32(ell=60),linear,matern32,60.0,0.0005755579713417304,0.00031827075532247156,0.0003946465115462691,0.002214261829696061
100,linear+matern52(ell=10),linear,matern52,10.0,0.0005990436271007014,0.0003246104504245561,0.0004147694760633459,0.002176752011348347
100,linear+matern52(ell=30),linear,matern52,30.0,0.0006230246806899996,0.00036482107815800945,0.0004460725915889304,0.0022344173996757814
100,linear+matern52(ell=60),linear,matern52,60.0,0.0005865605377876821,0.00033655402164136066,0.0004089264727476602,0.0022244654310949697
100,power+rbf(ell=10),power,rbf,10.0,0.0008878574084175566,0.0006706751309732057,0.0008035116871061042,0.0018012890096656008
100,power+rbf(ell=30),power,rbf,30.0,0.0008346480532346376,0.0005965271768439242,0.0007376954951400841,0.0018748588663506998
100,power+rbf(ell=60),power,rbf,60.0,0.000629181839623527,0.00042480550162903263,0.000529283584712164,0.001902808120644759
100,power+matern32(ell=10),power,matern32,10.0,0.0008790255643778086,0.000660012549130115,0.0007951295730059124,0.0017954420972296206
100,power+matern32(ell=30),power,matern32,30.0,0.0008857011558795368,0.0006567129268254759,0.0007938598079402224,0.0018474221438195728
100,power+matern32(ell=60),power,matern32,60.0,0.0008527550583488264,0.0006257508357096577,0.0007630756168126955,0.001859960891989335
100,power+matern52(ell=10),power,matern52,10.0,0.0008814780651191118,0.0006623185982149859,0.0007972830324686549,0.0017969064249599715
100,power+matern52(ell=30),power,matern52,30.0,0.0008980374751039136,0.0006721758643820563,0.0008070271002744254,0.0018532611332308128
100,power+matern52(ell=60),power,matern52,60.0,0.0008066525437087143,0.0005829912620185056,0.0007190876648497099,0.0018819850032124937
100,exponential+rbf(ell=10),exponential,rbf,10.0,0.0019154019808070273,0.0013253867770427292,0.0016635168711372865,0.005482706934505541
100,exponential+rbf(ell=30),exponential,rbf,30.0,0.0018148832645791286,0.0012065643152013065,0.0015713066588240354,0.005263304489948318
100,exponential+rbf(ell=60),exponential,rbf,60.0,0.001521055363900157,0.0009830792908863315,0.0012835419203757873,0.004703430638065712
100,exponential+matern32(ell=10),exponential,matern32,10.0,0.0019113510551736798,0.0013179152310759277,0.0016585944710830786,0.0054774024282540695
100,exponential+matern32(ell=30),exponential,matern32,30.0,0.001903663532014607,0.0013089363337599046,0.001655072189541068,0.005419212563192724
100,exponential+matern32(ell=60),exponential,matern32,60.0,0.0018629465240807867,0.0012721795766002715,0.0016221503048604875,0.005307989715673729
100,exponential+matern52(ell=10),exponential,matern52,10.0,0.0019125673436052246,0.001319279995820712,0.0016597681364374228,0.005477133194194124
100,exponential+matern52(ell=30),exponential,matern52,30.0,0.0019080880343347556,0.0013180587102057276,0.001664136900905292,0.005390950544577472
100,exponential+matern52(ell=60),exponential,matern52,60.0,0.0018006263012933415,0.001215580780512017,0.0015664650670685772,0.0051981698468302265
125,linear+rbf(ell=10),linear,rbf,10.0,0.000643240394864806,0.0003824357888299717,0.00048552451162586134,0.002231665031446601
125,linear+rbf(ell=30),linear,rbf,30.0,0.0007888996183463605,0.0005718936632525429,0.0006709946248372563,0.002057935037548
125,linear+rbf(ell=60),linear,rbf,60.0,0.0007278639921239323,0.0005448042139049814,0.0006488601807512437,0.001979880541822055
125,linear+matern32(ell=10),linear,matern32,10.0,0.0006382805092376697,0.00037653063024624335,0.00047552852330404947,0.0022776093353570957
125,linear+matern32(ell=30),linear,matern32,30.0,0.0006190356840821439,0.0003623244553233187,0.0004634755025753632,0.0022350823233825167
125,linear+matern32(ell=60),linear,matern32,60.0,0.0006213603649542307,0.00039823698746959746,0.0004931086890548137,0.002191373023215147
125,linear+matern52(ell=10),linear,matern52,10.0,0.0006399198539141926,0.00037750067828057435,0.0004767774517438981,0.002290932154406794
125,linear+matern52(ell=30),linear,matern52,30.0,0.0006107313667526722,0.00036675059980723345,0.00046286188338882337,0.002204424448196811
125,linear+matern52(ell=60),linear,matern52,60.0,0.0006843273102894176,0.0004885723414867378,0.0005832270055385482,0.002163058878054246
125,power+rbf(ell=10),power,rbf,10.0,0.0006518314722449314,0.00042489247490343766,0.0005406091590918322,0.0018020291255800448
125,power+rbf(ell=30),power,rbf,30.0,0.0005541753699394566,0.0003457772270983093,0.0004517493948138408,0.0017092078837732554
125,power+rbf(ell=60),power,rbf,60.0,0.0005124679422855589,0.00031462346824859727,0.00040290364029949303,0.0018829004662215853
125,power+matern32(ell=10),power,matern32,10.0,0.0006490443015355193,0.0004212454097975374,0.000535640864829326,0.001817030221016675
125,power+matern32(ell=30),power,matern32,30.0,0.0006029004008994587,0.00037713984319533676,0.0004919610855963925,0.0018036782997496688
125,power+matern32(ell=60),power,matern32,60.0,0.0005409496093557714,0.0003204801575948446,0.0004278345024816612,0.0018012936004584324
125,power+matern52(ell=10),power,matern52,10.0,0.0006501107169580493,0.0004218687350002998,0.0005368500066754224,0.0018204951188532938
