battery_id,prediction_test,policy,cutoff,mean_kind,EOL_point,EOL_median,EOL_lower_90,EOL_upper_90,EOL_lower_95,EOL_upper_95,bootstrap_crossing_probability,bootstrap_samples,max_reported_cycle,model_disagreement
1,0,3_6C-80PER_3_6C,150,linear,6518.352003276118,5170.9008737293925,2635.58314048822,12268.752587625,2378.4522804702437,13287.212002061402,0.78,100,20000,6195.958826780257
1,0,3_6C-80PER_3_6C,150,power,675.3974368434165,686.1849629999374,657.7435333744388,865.5045588905062,638.8547355462727,1018.3290664736888,1.0,100,20000,6195.958826780257
1,0,3_6C-80PER_3_6C,150,exponential,322.3931764958608,324.25490725923737,281.68949587036724,375.1996975544031,278.4516341804594,401.6641237592297,1.0,100,20000,6195.958826780257
2,1,3_6C-80PER_3_6C,150,linear,8583.586651094793,8711.378576625322,5892.281175140356,14274.18220332633,5489.347579218839,15111.488213607025,0.91,100,20000,8032.240186566884
2,1,3_6C-80PER_3_6C,150,power,1640.0880113730573,1633.9591893090505,1231.731255506548,2098.759600855176,1061.299626334426,2158.037406240594,1.0,100,20000,8032.240186566884
2,1,3_6C-80PER_3_6C,150,exponential,551.346464527908,552.4044542624495,465.2953681309045,655.0278229231329,444.1195880746141,661.7719203910644,1.0,100,20000,8032.240186566884
3,0,3_6C-80PER_3_6C,150,linear,9749.959474487563,9377.408479700347,4211.715085041149,16240.18866545172,4127.746001964447,17600.998928456498,0.79,100,20000,9354.574358582518
3,0,3_6C-80PER_3_6C,150,power,882.4313898310095,890.0233725749324,698.608154428923,1469.2437934614895,685.8893134420496,1651.990474422818,1.0,100,20000,9354.574358582518
3,0,3_6C-80PER_3_6C,150,exponential,395.3851159050451,394.79322268120075,324.2372421956351,521.8791683905279,314.33315671510917,547.7787595617845,1.0,100,20000,9354.574358582518
4,0,80PER_3_6C,150,linear,1126.367068189848,1110.6006376707273,823.46811577303,1730.5929722251296,795.6822590645544,1761.0610733421502,1.0,100,20000,603.5672781439464
4,0,80PER_3_6C,150,power,874.9575130931502,862.3911406187294,793.78829014495,935.3881187288181,786.255161050621,949.338732659724,1.0,100,20000,603.5672781439464
4,0,80PER_3_6C,150,exponential,522.7997900459015,523.5000250147502,472.73372687019537,578.1976338933604,464.20271097471425,600.0066890441483,1.0,100,20000,603.5672781439464
5,1,80PER_3_6C,150,linear,4710.122215935281,4300.972141285659,2551.5755691876097,9336.643917738702,2304.206035734364,12743.319441467675,0.83,100,20000,4381.676651975085
5,1,80PER_3_6C,150,power,612.2713814339452,621.8112394471757,585.6139878438742,974.6857770154663,579.5050318563545,1039.1716435957956,1.0,100,20000,4381.676651975085
5,1,80PER_3_6C,150,exponential,328.4455639601954,333.8450419131622,274.7729889356219,414.7205132508998,272.7903180854427,467.3036996097923,1.0,100,20000,4381.676651975085
6,0,80PER_3_6C,150,linear,6215.090039967158,6106.150164968078,3744.9132265419125,12860.028200060211,3444.468550751712,18149.87965327189,0.94,100,20000,5794.654732729758
6,0,80PER_3_6C,150,power,1014.4360751407532,1025.2254666154456,685.0708171319538,1563.9269302214502,669.2666550435908,1643.0292849210225,1.0,100,20000,5794.654732729758
6,0,80PER_3_6C,150,exponential,420.43530723740037,407.4403507881407,336.92439435757484,570.7209000305277,324.9586408305976,619.1677747159237,1.0,100,20000,5794.654732729758
7,0,4_8C_80PER_4_8C,150,linear,3329.1883469136205,3014.7300270688297,1420.8890489415664,10092.475749280931,1371.8881196906932,16434.05211290408,0.82,100,20000,3025.754256641257
7,0,4_8C_80PER_4_8C,150,power,526.6551995195808,537.2164674717374,507.7759673046033,696.0758011780962,496.28035168952266,783.6371999704618,1.0,100,20000,3025.754256641257
7,0,4_8C_80PER_4_8C,150,exponential,303.43409027236356,305.09314590990334,267.2065077986137,348.0281913476033,262.185400367516,357.8989771467204,1.0,100,20000,3025.754256641257
8,0,4_8C_80PER_4_8C,150,linear,1673.652913699257,1693.4738431403673,836.9128066000582,5073.752889797904,805.8415733773232,6188.849375522932,0.95,100,20000,1352.3364249762922
8,0,4_8C_80PER_4_8C,150,power,511.5174084991627,510.03268499870245,480.9095817377587,557.0960314180948,475.5081425387722,558.6564919943007,1.0,100,20000,1352.3364249762922
8,0,4_8C_80PER_4_8C,150,exponential,321.31648872296483,320.88192289996584,297.98662408724016,341.37058616392017,292.167718766248,346.30116701757174,1.0,100,20000,1352.3364249762922
9,1,4_8C_80PER_4_8C,150,linear,1692.41217641358,1659.2827266773638,888.288457502255,4530.343183200538,859.317438112364,4990.870701619085,0.92,100,20000,1359.6521621979655
9,1,4_8C_80PER_4_8C,150,power,538.8793522696446,542.5294121507446,486.30022968429523,599.6886320022421,477.79878485331363,610.2034403187766,1.0,100,20000,1359.6521621979655
9,1,4_8C_80PER_4_8C,150,exponential,332.7600142156145,333.3254101721045,308.32439857337135,363.95309599775396,306.1559744118089,368.55621321063995,1.0,100,20000,1359.6521621979655
10,1,5C_67PER_4C_NEWSTRUCTURE,150,linear,8325.165359871155,8266.612941475614,5543.994463165894,12512.372826111932,4700.338612482748,13530.687158698987,0.86,100,20000,7855.566549313084
10,1,5C_67PER_4C_NEWSTRUCTURE,150,power,1237.9281466431012,1226.1316386706558,753.8602894199882,2203.5749521461426,733.5001690949387,2382.746921802349,1.0,100,20000,7855.566549313084
10,1,5C_67PER_4C_NEWSTRUCTURE,150,exponential,469.598810558071,471.4923089226273,372.6180040745257,671.8860899213478,341.85878583693994,837.7664539548671,1.0,100,20000,7855.566549313084
11,1,5_3C_54PER_4C_NEWSTRUCTURE,150,linear,8103.453510020204,8240.958067068197,6150.361876281092,11848.108630993109,5873.672332859158,14638.00438866789,1.0,100,20000,7379.80066988889
11,1,5_3C_54PER_4C_NEWSTRUCTURE,150,power,2282.800430538769,2434.986679190991,1510.866993123245,4214.002869630912,1376.689923071931,4866.929917917302,1.0,100,20000,7379.80066988889
11,1,5_3C_54PER_4C_NEWSTRUCTURE,150,exponential,723.6528401313137,719.9774659718287,520.9242849556268,1324.8199222455794,501.74598320985723,1579.9954320670274,1.0,100,20000,7379.80066988889
12,0,5_6C_19PER_4_6C_NEWSTRUCTURE,150,linear,6973.721216185755,6968.777730448824,5164.198371686473,11723.161614802935,5002.298612615412,13003.978624255697,0.99,100,20000,6094.8397967208075
12,0,5_6C_19PER_4_6C_NEWSTRUCTURE,150,power,2749.962312629271,2710.546703875687,1925.8570220070017,4433.0625731989385,1790.6384083755165,4645.288748281005,1.0,100,20000,6094.8397967208075
12,0,5_6C_19PER_4_6C_NEWSTRUCTURE,150,exponential,878.881419464948,820.9763529873768,619.4406847975883,1843.1124676474915,601.359548967117,3051.98700150283,1.0,100,20000,6094.8397967208075
13,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,linear,7350.066653150861,7246.830063320755,4237.219082651372,10657.670707511894,3814.007848384617,10955.106293817696,0.96,100,20000,6824.231799109223
13,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,power,1501.4930396813281,1397.4814397062512,922.3474072039173,2676.4423138488028,871.513072744423,2839.520240952597,1.0,100,20000,6824.231799109223
13,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,exponential,525.834854041638,505.1317302444301,426.8603606022974,821.0007743266908,410.3547554970966,1007.5636453902325,1.0,100,20000,6824.231799109223
14,1,5_6C_19PER_4_6C_NEWSTRUCTURE,150,linear,7974.329008119405,7272.847710679631,4287.271223960797,12493.915693409775,4019.201518240834,13531.778110858464,0.9,100,20000,7560.776077005422
14,1,5_6C_19PER_4_6C_NEWSTRUCTURE,150,power,992.8558701679051,999.7992726451723,675.4778767300912,1674.284294280554,660.7085163854093,1852.4605522632132,1.0,100,20000,7560.776077005422
14,1,5_6C_19PER_4_6C_NEWSTRUCTURE,150,exponential,413.55293111398345,403.52739984425665,331.09497692039685,541.763685439757,313.18615412065554,555.5947007237658,1.0,100,20000,7560.776077005422
15,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,linear,5187.325570809793,5016.987913656204,2732.4868311103783,10014.73116471013,2516.5085275609335,12793.279097012077,0.94,100,20000,4724.763439130264
15,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,power,1159.1502019943039,1123.006818193957,871.3403629754273,1683.596421812497,827.9652252011768,1909.3755078655436,1.0,100,20000,4724.763439130264
15,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,exponential,462.5621316795299,462.4713638313101,396.6973333804429,566.2079751478038,388.83963423941583,602.4905703434084,1.0,100,20000,4724.763439130264
16,1,3_7C_31PER_5_9C_NEWSTRUCTURE,150,linear,1021.6797065328706,1017.1327214554877,970.1152960740296,1065.3953616485635,960.6078448275622,1072.6489493307872,1.0,100,20000,121.82147576118314
16,1,3_7C_31PER_5_9C_NEWSTRUCTURE,150,power,1012.4876605383943,1013.2622232822364,982.9650294503305,1046.2883431713062,977.5420608193106,1050.2530630279782,1.0,100,20000,121.82147576118314
16,1,3_7C_31PER_5_9C_NEWSTRUCTURE,150,exponential,899.8582307716874,898.0838503657691,815.8136381777258,906.1295130797731,807.3306826810568,907.6191548574241,1.0,100,20000,121.82147576118314
17,0,4_8C_80PER_4_8C_NEWSTRUCTURE,150,linear,14601.00706863318,12941.961530879164,9211.588750274697,17654.255865719693,8473.249955168583,18984.87878292561,0.81,100,20000,13910.101657921234
17,0,4_8C_80PER_4_8C_NEWSTRUCTURE,150,power,2678.9167822879176,2637.308277004698,1018.3440987191426,6811.3126251681115,927.5515517058002,8483.328383200642,1.0,100,20000,13910.101657921234
17,0,4_8C_80PER_4_8C_NEWSTRUCTURE,150,exponential,690.9054107119462,718.3320129023168,481.560646552433,3905.1899934556122,459.5074377236625,4892.213754885076,1.0,100,20000,13910.101657921234
18,0,5C_67PER_4C_NEWSTRUCTURE,150,linear,6237.466253071806,6233.727261118322,3505.9257918478434,13791.305405561021,3034.463161547315,15835.10332495763,0.9,100,20000,5813.685527072362
18,0,5C_67PER_4C_NEWSTRUCTURE,150,power,963.5934880830689,980.5037098047105,706.3533400901977,1505.4459039500312,637.1446974629912,1628.9383647146385,1.0,100,20000,5813.685527072362
18,0,5C_67PER_4C_NEWSTRUCTURE,150,exponential,423.7807259994441,415.48331611243196,364.86513848078727,510.1192379754447,354.3213206152081,533.7975692996916,1.0,100,20000,5813.685527072362
19,0,5_3C_54PER_4C_NEWSTRUCTURE,150,linear,12255.395234760908,11697.345352715594,7487.137977821248,18992.56979830796,6318.4453108494445,19747.67601495416,0.75,100,20000,11735.060339233274
19,0,5_3C_54PER_4C_NEWSTRUCTURE,150,power,1639.246119487283,1603.5937829167715,1007.6081996307694,2532.7944391760666,920.6233435999533,2602.843927204092,1.0,100,20000,11735.060339233274
19,0,5_3C_54PER_4C_NEWSTRUCTURE,150,exponential,520.3348955276333,511.16574107625047,429.6408147703061,682.4029959357715,411.6275960720925,768.244546958001,1.0,100,20000,11735.060339233274
20,0,4_8C_80PER_4_8C_NEWSTRUCTURE,150,linear,7972.702111921631,7567.500522289454,3763.0336624848956,12395.397004072758,3488.2698746975257,15392.510161316384,0.84,100,20000,7539.822454513401
20,0,4_8C_80PER_4_8C_NEWSTRUCTURE,150,power,1042.2028552643835,1051.436652903632,752.8893967354588,1584.891044626431,700.4281834520519,1625.590800227938,1.0,100,20000,7539.822454513401
20,0,4_8C_80PER_4_8C_NEWSTRUCTURE,150,exponential,432.8796574082301,444.0203303528717,351.60342280649394,617.0188050978879,339.4690820267127,648.6199438815944,1.0,100,20000,7539.822454513401
21,0,5_6C_19PER_4_6C_NEWSTRUCTURE,150,linear,4920.652828918034,5008.628146885009,3568.0363658399892,9429.844856244366,3433.9067275730586,12562.269299895976,0.97,100,20000,4426.068236674277
21,0,5_6C_19PER_4_6C_NEWSTRUCTURE,150,power,1230.2778897275175,1227.8313742160556,1072.3490655198734,1407.3314333384633,1040.0193407522622,1422.1932351401867,1.0,100,20000,4426.068236674277
21,0,5_6C_19PER_4_6C_NEWSTRUCTURE,150,exponential,494.5845922437577,499.9191286125716,426.20385015967287,559.0830784941071,412.1696069440876,578.9397456850418,1.0,100,20000,4426.068236674277
22,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,linear,11791.100353770833,11106.957573463322,6778.716536899873,16902.64757621796,6408.073794756902,18124.657360375302,0.92,100,20000,11083.909802169406
22,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,power,2501.834271769561,2312.3659048392146,1456.0582953238995,4728.451096760283,1378.3106820348737,5051.332390158109,1.0,100,20000,11083.909802169406
22,0,5_6C_36PER_4_3C_NEWSTRUCTURE,150,exponential,707.1905516014269,680.7132575550413,488.1861734112471,1570.590037427357,473.97550583220783,2178.981850326153,1.0,100,20000,11083.909802169406
23,0,5_6C_19PER_4_6C_NEWSTRUCTURE,150,linear,4881.3711827428015,4813.284232341686,2911.787994217638,10229.077699534864,2801.5115598866782,12925.815850915193,0.98,100,20000,4408.500644704581
23,0,5_6C_19PER_4_6C_NEWSTRUCTURE,150,power,1111.3515732777773,1107.8482837652919,940.2487965400836,1383.090651851322,900.6916006291956,1524.7804039343525,1.0,100,20000,4408.500644704581
