cutoff,horizon_bin,n_points,RMSE,MAE
50,1-10,400,0.0004944087588650687,0.00021392356237598804
50,11-20,400,0.0006529017218094586,0.0003394865006844619
50,21-30,400,0.0006882838548822761,0.0005168397601660415
50,31-40,400,0.00112321368331884,0.0008118326947931301
50,41-50,400,0.0016507948466267886,0.0011972816405956671
75,1-10,400,0.0003750681958181887,0.00014897812789861937
75,11-20,400,0.0003027741045193542,0.0002308080603452703
75,21-30,400,0.0004444086293392313,0.0003186339431147664
75,31-40,400,0.0006098795616236862,0.000446910048353385
75,41-50,400,0.0008042611954069902,0.0005886546256772576
100,1-10,400,0.0002898744297630503,0.00015454755009432968
100,11-20,400,0.0005104799951516732,0.00032202681906201845
100,21-30,400,0.0005165559505481207,0.00035107016221052836
100,31-40,400,0.0006671690869369254,0.00037836899517525944
100,41-50,400,0.0009113511514049405,0.0004868078359104847
125,1-10,400,0.00032301861779139465,0.00019433820782784798
125,11-20,400,0.0005205181497866979,0.00030375936596045483
125,21-30,400,0.0003749976110422793,0.00025834871242498195
125,31-40,400,0.0005315004967491848,0.0003688286681334574
125,41-50,400,0.0008306009385684861,0.0005509008359034307
150,1-10,400,0.0003181117795684679,0.00020284597084197303
150,11-20,400,0.0005433241415813448,0.0002928498138552957
150,21-30,400,0.0007508191914359862,0.0003651216122217496
150,31-40,400,0.0005922932947951771,0.0004639181947239376
150,41-50,400,0.0009952178000342431,0.0006567124766328197
