cutoff,group_type,group_value,n_points,coverage_90,mean_width_90,coverage_95,mean_width_95
50,overall,all,2000,0.8805,0.0031795997729554834,0.9335,0.0047503228264351915
50,policy,3_6C-80PER_3_6C,100,0.96,0.0031572781587061306,1.0,0.004758173542215508
50,policy,3_7C_31PER_5_9C_NEWSTRUCTURE,100,0.19,0.0014972832173811535,0.56,0.0023290861167169254
50,policy,4_8C_80PER_4_8C,100,1.0,0.005936214527053401,1.0,0.008841645146671703
50,policy,4_8C_80PER_4_8C_NEWSTRUCTURE,250,0.972,0.004046602844214552,0.98,0.006033604392428931
50,policy,5C_67PER_4C_NEWSTRUCTURE,300,1.0,0.002689907902553161,1.0,0.00400646085871973
50,policy,5_3C_54PER_4C_NEWSTRUCTURE,350,0.9942857142857143,0.002956757632976007,1.0,0.004406382221345139
50,policy,5_6C_19PER_4_6C_NEWSTRUCTURE,350,0.8428571428571429,0.0019955754150615466,0.9085714285714286,0.0029746657688800708
50,policy,5_6C_36PER_4_3C_NEWSTRUCTURE,350,0.7485714285714286,0.002374608868859345,0.8514285714285714,0.0035408231956408232
50,policy,80PER_3_6C,100,0.98,0.00917069202863397,1.0,0.013747609015337036
50,horizon,1-10,400,0.9325,0.0015924790970829777,0.985,0.0023801129449233975
50,horizon,11-20,400,0.89,0.002259025066403136,0.95,0.0033755360974653337
50,horizon,21-30,400,0.88,0.003151025705297647,0.9425,0.0047076477357462605
50,horizon,31-40,400,0.855,0.004050291240101761,0.9225,0.006050613996583456
50,horizon,41-50,400,0.845,0.004845177755891894,0.8675,0.007237703357457504
75,overall,all,2000,0.885,0.0014814919942513032,0.938,0.001897760480622511
75,policy,3_6C-80PER_3_6C,100,0.57,0.001128297783931056,0.77,0.0014448251344389785
75,policy,3_7C_31PER_5_9C_NEWSTRUCTURE,100,0.63,0.0008662331676569424,0.69,0.0010928568770988444
75,policy,4_8C_80PER_4_8C,100,0.76,0.002359438831967542,0.93,0.0031037672550245222
75,policy,4_8C_80PER_4_8C_NEWSTRUCTURE,250,0.968,0.0016714597102284814,0.972,0.00212995930313595
75,policy,5C_67PER_4C_NEWSTRUCTURE,300,0.99,0.001120092503026176,0.9933333333333333,0.0014307366924083502
75,policy,5_3C_54PER_4C_NEWSTRUCTURE,350,0.9457142857142857,0.0010774202609586927,0.9885714285714285,0.0013808246617192591
75,policy,5_6C_19PER_4_6C_NEWSTRUCTURE,350,0.8742857142857143,0.0010791777508147257,0.9771428571428571,0.0013934818489315856
75,policy,5_6C_36PER_4_3C_NEWSTRUCTURE,350,0.8542857142857143,0.0010844562278093468,0.8828571428571429,0.0013814601260772566
75,policy,80PER_3_6C,100,0.99,0.00639325347828111,0.99,0.008151468782274594
75,horizon,1-10,400,0.9625,0.0009180428936067994,0.975,0.0011751125283862792
75,horizon,11-20,400,0.8825,0.0010967976578911277,0.9375,0.0014046141566160808
75,horizon,21-30,400,0.86,0.0013936491353575306,0.9325,0.0017854258441270287
75,horizon,31-40,400,0.8625,0.0017804791509225873,0.9275,0.0022812697683856063
75,horizon,41-50,400,0.8575,0.0022184911334784704,0.9175,0.00284238010559756
100,overall,all,2000,0.884,0.0015572636452685289,0.9335,0.00200299148932606
100,policy,3_6C-80PER_3_6C,100,0.92,0.0021483082569384647,0.95,0.0027687957615565527
100,policy,3_7C_31PER_5_9C_NEWSTRUCTURE,100,0.9,0.0012812061310435085,0.99,0.0016530322299319411
100,policy,4_8C_80PER_4_8C,100,0.66,0.0024904085487139492,0.8,0.003268932704864802
100,policy,4_8C_80PER_4_8C_NEWSTRUCTURE,250,0.58,0.00177584259630674,0.664,0.002275037076264792
100,policy,5C_67PER_4C_NEWSTRUCTURE,300,0.9933333333333333,0.0013270785875409774,0.9966666666666667,0.0016969229561814576
100,policy,5_3C_54PER_4C_NEWSTRUCTURE,350,0.9457142857142857,0.001294994580986607,0.9942857142857143,0.0016659870513181462
100,policy,5_6C_19PER_4_6C_NEWSTRUCTURE,350,0.9771428571428571,0.001227543319578021,1.0,0.0015727746287673623
100,policy,5_6C_36PER_4_3C_NEWSTRUCTURE,350,0.8971428571428571,0.001212075568991366,0.9657142857142857,0.0015604255250133718
100,policy,80PER_3_6C,100,0.9,0.003733360571838895,0.92,0.004793552313115481
100,horizon,1-10,400,0.915,0.0007043049217889918,0.9475,0.0009067816258205363
100,horizon,11-20,400,0.8525,0.0011882224343937981,0.91,0.0015293809560781241
100,horizon,21-30,400,0.88,0.001628983719155201,0.94,0.0020953952493801614
100,horizon,31-40,400,0.905,0.001991540567522215,0.94,0.002560858952168231
100,horizon,41-50,400,0.8675,0.002273266583482439,0.93,0.0029225406631832496
125,overall,all,2000,0.8765,0.0014667509524024563,0.938,0.0017459307284344895
125,policy,3_6C-80PER_3_6C,100,0.81,0.001250595438114861,0.83,0.0014890134530816358
125,policy,3_7C_31PER_5_9C_NEWSTRUCTURE,100,0.64,0.0008374902388536354,0.73,0.0010032401630900244
125,policy,4_8C_80PER_4_8C,100,0.82,0.002315300540161909,0.85,0.0027409349599236466
125,policy,4_8C_80PER_4_8C_NEWSTRUCTURE,250,0.912,0.0015264151531476698,0.964,0.0018166476847245364
125,policy,5C_67PER_4C_NEWSTRUCTURE,300,0.9733333333333334,0.0011022198963318102,1.0,0.001310106108624393
125,policy,5_3C_54PER_4C_NEWSTRUCTURE,350,0.8885714285714286,0.001148202449992306,0.9657142857142857,0.0013695335265387497
125,policy,5_6C_19PER_4_6C_NEWSTRUCTURE,350,0.8857142857142857,0.0010610549032020243,0.9542857142857143,0.0012630978446876685
125,policy,5_6C_36PER_4_3C_NEWSTRUCTURE,350,0.82,0.0011541008265634593,0.9228571428571428,0.0013763584377465715
125,policy,80PER_3_6C,100,0.98,0.0060371816299018485,0.99,0.007182024123504498
125,horizon,1-10,400,0.915,0.0009231754036162087,0.9825,0.0010988906177443402
125,horizon,11-20,400,0.805,0.0011419142031489627,0.89,0.0013592138759958355
125,horizon,21-30,400,0.935,0.00144392659949837,0.9675,0.001718692991512759
125,horizon,31-40,400,0.865,0.0017635471172896366,0.94,0.002099209341786625
125,horizon,41-50,400,0.8625,0.0020611914384591023,0.91,0.0024536468151328873
150,overall,all,2000,0.8965,0.001730346384791213,0.9495,0.002082457263103681
150,policy,3_6C-80PER_3_6C,100,0.77,0.002200457133546514,0.85,0.002734835472208349
150,policy,3_7C_31PER_5_9C_NEWSTRUCTURE,100,0.39,0.0010115560042962613,0.49,0.001198346553764973
150,policy,4_8C_80PER_4_8C,100,0.79,0.0029383002479149646,0.85,0.0036016380051608187
150,policy,4_8C_80PER_4_8C_NEWSTRUCTURE,250,0.96,0.0017861563779350761,0.976,0.002139352743472057
150,policy,5C_67PER_4C_NEWSTRUCTURE,300,0.9033333333333333,0.0012396241199105406,0.9533333333333334,0.0014837937561021704
150,policy,5_3C_54PER_4C_NEWSTRUCTURE,350,0.8942857142857142,0.00131371320247693,1.0,0.0015853210126810088
150,policy,5_6C_19PER_4_6C_NEWSTRUCTURE,350,0.9942857142857143,0.0012521172632695636,1.0,0.0014964990008517276
150,policy,5_6C_36PER_4_3C_NEWSTRUCTURE,350,0.9314285714285714,0.0013234532103906904,1.0,0.0015915379835200368
150,policy,80PER_3_6C,100,1.0,0.006659858139017061,1.0,0.00795780911426811
150,horizon,1-10,400,0.9025,0.0010377669081751745,0.9575,0.001248264816371727
150,horizon,11-20,400,0.91,0.0014410106845272259,0.945,0.0017362158270088613
150,horizon,21-30,400,0.955,0.0017905215353815507,0.9725,0.0021557547138436883
150,horizon,31-40,400,0.9125,0.002078646955119368,0.9575,0.0025011136251788875
150,horizon,41-50,400,0.8025,0.0023037858407527452,0.915,0.0027709373331152387
