model,n_batteries,n_points,MAE,overall_RMSE,mean_battery_RMSE,median_battery_RMSE,worst_battery_RMSE,cutoff
Public Linear-Nested,40,2000,0.0003945208179418689,0.0007014353248321672,0.00048665827154456727,0.0002889452455201658,0.002341701847626538,50
Exact-policy mean delta,40,2000,0.000504113967903733,0.0011184283063144153,0.0006360471346644155,0.0003375866783368968,0.004296805062458591,50
Trajectory similarity,40,2000,0.00048128198603455925,0.00110850896060239,0.0006050807311484012,0.0002948095607083136,0.004296805062458591,50
Slope-adapted cohort,40,2000,0.0003645536255696415,0.0007922947747256237,0.00046915524565261345,0.0002898112997805776,0.00394345800614876,50
Multivariate similarity,40,2000,0.000482537322501355,0.0011076817388728144,0.000603020341515962,0.0003033010001639707,0.004296805062458591,50
Soft-policy neighbors,40,2000,0.00039616628934631794,0.0009897795637969701,0.0004961925725895588,0.0002482673203434673,0.0044589443834625545,50
Public Linear-Nested,40,2000,0.0003966792766474685,0.0007893484217798883,0.00047076820404646943,0.0002891481637723955,0.0039989943613218774,75
Exact-policy mean delta,40,2000,0.0005290555814873086,0.0011553782442354952,0.0006325415839289774,0.0003156953705944945,0.004369791313954222,75
Trajectory similarity,40,2000,0.0005014161217948934,0.0011491680301451627,0.0006045909393544727,0.0002712914012454019,0.004369791313954222,75
Slope-adapted cohort,40,2000,0.0003744104060079964,0.0007761803705250891,0.00045505336549554146,0.0003397310701852928,0.0041479895806008,75
Multivariate similarity,40,2000,0.0004961491280315379,0.0011482634382715246,0.0005994485682673873,0.0002354415897871393,0.004369791313954222,75
Soft-policy neighbors,40,2000,0.0004485554572605841,0.0010331293280536823,0.0005316482357484242,0.00025288307811253947,0.0041942839571047245,75
Public Linear-Nested,40,2000,0.00028935435113881157,0.0005170378482788821,0.00036988190797490123,0.00023811887389046883,0.0020065918660535365,100
Exact-policy mean delta,40,2000,0.0006183109384222132,0.0012623176172777662,0.0007391437712084419,0.0002991294179287488,0.004435737571674197,100
Trajectory similarity,40,2000,0.0006360637056001903,0.0012782838799839866,0.0007555701584686665,0.0002886108581703996,0.004435737571674197,100
Slope-adapted cohort,40,2000,0.00035788830426855485,0.0006848334351341029,0.0004386584396987122,0.0002564133255327404,0.0031955214871404788,100
Multivariate similarity,40,2000,0.0006238463127718396,0.0012681711713130553,0.0007423762829287912,0.00027576239938000794,0.004435737571674197,100
Soft-policy neighbors,40,2000,0.0005351056845243815,0.0012027961043946263,0.0006247173610999869,0.0002446849860128871,0.004805163620814338,100
Public Linear-Nested,40,2000,0.00037788877555688184,0.0006313275034291055,0.0004717180352944945,0.0003724213472985412,0.002238793205391944,125
Exact-policy mean delta,40,2000,0.0005705498879287669,0.0012247079270761333,0.0007141045181576205,0.0003084064798930048,0.004097180507763583,125
Trajectory similarity,40,2000,0.0005258440404284639,0.001213513398242231,0.0006691214552526009,0.00021073750296597587,0.004097180507763583,125
Slope-adapted cohort,40,2000,0.0003817711893868857,0.00079243081505193,0.000491949525287282,0.0003313941452726197,0.003387030335643458,125
Multivariate similarity,40,2000,0.0005492684196084029,0.0012206604767476309,0.000694176316127734,0.0002828604251855951,0.004097180507763583,125
Soft-policy neighbors,40,2000,0.0005147397649121789,0.0011633092475410503,0.0006297783723535021,0.00023260465763026662,0.004192565484992866,125
Public Linear-Nested,40,2000,0.00033612676547397215,0.0006158852451938743,0.0004098649823593882,0.00026068022552317235,0.002332293272217985,150
Exact-policy mean delta,40,2000,0.0006205372442667864,0.0013470971541596555,0.0007669531535309681,0.00025861110297592223,0.004174319081089242,150
Trajectory similarity,40,2000,0.0005956061549810423,0.001342730980131854,0.0007399084195433365,0.00020585406713844072,0.004174319081089242,150
Slope-adapted cohort,40,2000,0.00030713666667558156,0.0006927285742596031,0.0004016702268621342,0.00021834264097845494,0.002771201837149707,150
Multivariate similarity,40,2000,0.000606462134781434,0.001345458557884284,0.000752124065203457,0.0002445591384530371,0.004174319081089242,150
Soft-policy neighbors,40,2000,0.0005161088203037702,0.001148236033731877,0.0006274862159574171,0.00025327228499670985,0.004347962400031977,150
