cutoff,model,exact_peer_count,n_batteries,n_points,MAE,RMSE,mean_battery_RMSE
50,Public Linear-Nested,1,8,400,0.0007344232562254521,0.0010837754850443844,0.0009131596764082105
50,Exact-policy mean delta,1,8,400,0.001551015365537461,0.0023458542429619865,0.001837938296188485
50,Trajectory similarity,1,8,400,0.001551015365537461,0.0023458542429619865,0.001837938296188485
50,Slope-adapted cohort,1,8,400,0.0007849934536613875,0.001508549845960496,0.0009551033929789845
50,Multivariate similarity,1,8,400,0.001551015365537461,0.0023458542429619865,0.001837938296188485
50,Soft-policy neighbors,1,8,400,0.0012737797306410531,0.002096141752226655,0.001477181074567097
50,Public Linear-Nested,4,5,250,0.0008240932497719662,0.0012145218061528477,0.0009875188352017387
50,Exact-policy mean delta,4,5,250,0.0003707763387299914,0.0008460304925339197,0.0007222507043855474
50,Trajectory similarity,4,5,250,0.0003150593857794717,0.0007867892420556198,0.0005965556116971681
50,Slope-adapted cohort,4,5,250,0.00042933707085136954,0.0008659718870200531,0.0007010230088454138
50,Multivariate similarity,4,5,250,0.0003135740296833998,0.0007811817264998697,0.0005862463602100848
50,Soft-policy neighbors,4,5,250,0.00028824755110885646,0.0007567523239223201,0.0005563706246258221
50,Public Linear-Nested,5,6,300,0.0003322213695618033,0.0005026318724964666,0.00039469732792460203
50,Exact-policy mean delta,5,6,300,0.00020755596068060213,0.00026184527176781634,0.000243414073317886
50,Trajectory similarity,5,6,300,0.00023615136538109946,0.0003123995267987148,0.0002808920382632361
50,Slope-adapted cohort,5,6,300,0.0003306206235954175,0.0005067699984228645,0.00040204973928647386
50,Multivariate similarity,5,6,300,0.00019186034490931627,0.00024981159208328936,0.0002279593321266503
50,Soft-policy neighbors,5,6,300,0.00018587424609510275,0.0002358348557957496,0.00021835752819437333
50,Public Linear-Nested,6,21,1050,0.0001805548667447851,0.00025753014594052324,0.00023120358604574766
50,Exact-policy mean delta,6,21,1050,0.0002217723016245743,0.0003102074859603251,0.0002698400502492232
50,Trajectory similarity,6,21,1050,0.0001833786378999394,0.0002624681615624093,0.00023007583754109084
50,Slope-adapted cohort,6,21,1050,0.00019865658560310506,0.0002771476971689563,0.0002479985334441311
50,Multivariate similarity,6,21,1050,0.00019877798847055316,0.00027846833736302936,0.00024372949987239403
50,Soft-policy neighbors,6,21,1050,0.00014761573793378063,0.0001998788393626073,0.00018753600070239165
75,Public Linear-Nested,1,8,400,0.0008935864289453577,0.0015620844483096878,0.0010632574276321465
75,Exact-policy mean delta,1,8,400,0.00170521332223806,0.0025147941458350644,0.0020302859292331554
75,Trajectory similarity,1,8,400,0.00170521332223806,0.0025147941458350644,0.0020302859292331554
75,Slope-adapted cohort,1,8,400,0.0009466871531799426,0.0016185349064782668,0.0011184526107650748
75,Multivariate similarity,1,8,400,0.00170521332223806,0.0025147941458350644,0.0020302859292331554
75,Soft-policy neighbors,1,8,400,0.001403150513774055,0.0022447030788057395,0.0016543768209825653
75,Public Linear-Nested,4,5,250,0.00045931664419839626,0.0007336353382929624,0.0005453680151874079
75,Exact-policy mean delta,4,5,250,0.00022674291710444327,0.00032381580536662054,0.0003175576069729785
75,Trajectory similarity,4,5,250,0.00020746690571870507,0.00032607795700542367,0.00031802741192451313
