cutoff,model,horizon_bin,RMSE,MAE
50,Public Linear-Nested,1-10,0.0004981014533359706,0.000202149261416614
50,Public Linear-Nested,11-20,0.0006276465722364346,0.00027010606859262403
50,Public Linear-Nested,21-30,0.0005347664114923096,0.0003556148012645846
50,Public Linear-Nested,31-40,0.0008035943454791381,0.0004991497028946318
50,Public Linear-Nested,41-50,0.0009414208996034034,0.00064558425554089
50,Exact-policy mean delta,1-10,0.0006691282617199985,0.0002543392137032102
50,Exact-policy mean delta,11-20,0.0009733932076477689,0.000385837513823144
50,Exact-policy mean delta,21-30,0.0008811313660817425,0.00047444635522138123
50,Exact-policy mean delta,31-40,0.00132959662907739,0.000632766100981938
50,Exact-policy mean delta,41-50,0.0015215001591036338,0.0007731806557889912
50,Trajectory similarity,1-10,0.0006474016992860247,0.00023887686885150196
50,Trajectory similarity,11-20,0.0009561717957368941,0.0003652110048122359
50,Trajectory similarity,21-30,0.0008763682219435889,0.0004563243566686342
50,Trajectory similarity,31-40,0.001321497913223552,0.0006015527235363929
50,Trajectory similarity,41-50,0.0015153181581407378,0.0007444449763040311
50,Slope-adapted cohort,1-10,0.0005587719700511339,0.0002013914435905728
50,Slope-adapted cohort,11-20,0.0007607010162648793,0.000285022112109031
50,Slope-adapted cohort,21-30,0.0006086189357304897,0.0003193955290866565
50,Slope-adapted cohort,31-40,0.0008918301199829864,0.00044045147993009985
50,Slope-adapted cohort,41-50,0.0010401850449741176,0.0005765075631318472
50,Multivariate similarity,1-10,0.0006455955877801761,0.0002417594644804441
50,Multivariate similarity,11-20,0.0009564720925938998,0.0003656727012378172
50,Multivariate similarity,21-30,0.0008748904970570538,0.00045615140506326116
50,Multivariate similarity,31-40,0.001321553841441163,0.0006070505721188163
50,Multivariate similarity,41-50,0.001513678865750821,0.0007420524696064362
50,Soft-policy neighbors,1-10,0.0005819331641724347,0.00020585767328486077
50,Soft-policy neighbors,11-20,0.000778811067595641,0.00029344656334455264
50,Soft-policy neighbors,21-30,0.0007945523892486421,0.0003694923459170596
50,Soft-policy neighbors,31-40,0.0011893481577344438,0.000507396175708156
50,Soft-policy neighbors,41-50,0.0013810367476683437,0.0006046386884769606
75,Public Linear-Nested,1-10,0.00045124122741517665,0.00016608212696989116
75,Public Linear-Nested,11-20,0.0004287783211789595,0.0002514710387923549
75,Public Linear-Nested,21-30,0.0006626830737427324,0.0003827334746932276
75,Public Linear-Nested,31-40,0.0009442346182833837,0.0005270932822598124
75,Public Linear-Nested,41-50,0.0011820140820692098,0.0006560164605220564
75,Exact-policy mean delta,1-10,0.000588386550030295,0.00020380717131552234
75,Exact-policy mean delta,11-20,0.0005570639017875379,0.0003209499707068342
75,Exact-policy mean delta,21-30,0.0009595268551444697,0.0005044549031801404
75,Exact-policy mean delta,31-40,0.0013795702846348533,0.0007155828004241565
75,Exact-policy mean delta,41-50,0.0017871960041756037,0.0009004830618098891
75,Trajectory similarity,1-10,0.0005897705154678963,0.00020810118311182763
75,Trajectory similarity,11-20,0.0005551323795464537,0.0003122721149395072
75,Trajectory similarity,21-30,0.0009566480006584996,0.0004795237549076406
75,Trajectory similarity,31-40,0.001368568732735226,0.0006596509100081069
75,Trajectory similarity,41-50,0.0017772953649908573,0.0008475326460073845
75,Slope-adapted cohort,1-10,0.00046874581210654305,0.00019540959594045975
75,Slope-adapted cohort,11-20,0.0004084340449621866,0.000245588369973308
75,Slope-adapted cohort,21-30,0.0006741263657783569,0.0003774630199507381
75,Slope-adapted cohort,31-40,0.0009137619003452462,0.0004701868787165947
75,Slope-adapted cohort,41-50,0.001155998124968478,0.0005834041654588814
75,Multivariate similarity,1-10,0.0005886176435872701,0.0002035562677502914
75,Multivariate similarity,11-20,0.0005522077469900911,0.00030580531212358986
75,Multivariate similarity,21-30,0.0009547009460257931,0.00047194634315479185
75,Multivariate similarity,31-40,0.0013700455808252215,0.0006661020448498131
75,Multivariate similarity,41-50,0.0017755736262673961,0.0008333356722792035
75,Soft-policy neighbors,1-10,0.0004431778706436417,0.00018581318128666757
75,Soft-policy neighbors,11-20,0.0005224309086435118,0.0002876446749312925
75,Soft-policy neighbors,21-30,0.0008626790641599112,0.0004287251354074936
75,Soft-policy neighbors,31-40,0.0012439353191374023,0.0005917774855695287
75,Soft-policy neighbors,41-50,0.0016049455184372014,0.0007488168091079381
100,Public Linear-Nested,1-10,0.0002583810719901907,0.0001606334254611827
100,Public Linear-Nested,11-20,0.0003799969171771558,0.000210463470186526
