cutoff,model,policy,n_batteries,RMSE,MAE,mean_exact_peer_count
50,Public Linear-Nested,3_6C-80PER_3_6C,2,0.0006295937550088435,0.0005519862009138887,1.0
50,Public Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.00036497543861189834,0.0002280929136605603,1.0
50,Public Linear-Nested,4_8C_80PER_4_8C,2,0.0015944938415141845,0.0013687442903353997,1.0
50,Public Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0012145218061528477,0.0008240932497719662,4.0
50,Public Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.0005026318724964666,0.0003322213695618033,5.0
50,Public Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00022913915972969136,0.00017209597188278032,6.0
50,Public Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0003196097930327903,0.00022194132180049271,6.0
50,Public Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00021049977168716722,0.00014762730655108232,6.0
50,Public Linear-Nested,80PER_3_6C,2,0.0012752533984153962,0.0007888696199919598,1.0
50,Exact-policy mean delta,3_6C-80PER_3_6C,2,0.0004825939473891292,0.00029343555214033534,1.0
50,Exact-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0013501882329118927,0.001113363866555641,1.0
50,Exact-policy mean delta,4_8C_80PER_4_8C,2,0.0012221659419943277,0.001079282585448491,1.0
50,Exact-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0008460304925339197,0.0003707763387299914,4.0
50,Exact-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.00026184527176781634,0.00020755596068060213,5.0
50,Exact-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00031258878579681687,0.00023486240766234148,6.0
50,Exact-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00028557868382134914,0.00018876916500934815,6.0
50,Exact-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00033078560938833715,0.00024168533220203324,6.0
50,Exact-policy mean delta,80PER_3_6C,2,0.004296805062458591,0.003717979458005376,1.0
50,Trajectory similarity,3_6C-80PER_3_6C,2,0.0004825939473891292,0.00029343555214033534,1.0
50,Trajectory similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0013501882329118927,0.001113363866555641,1.0
50,Trajectory similarity,4_8C_80PER_4_8C,2,0.0012221659419943277,0.001079282585448491,1.0
50,Trajectory similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007867892420556198,0.0003150593857794717,4.0
50,Trajectory similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.0003123995267987148,0.00023615136538109946,5.0
50,Trajectory similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0002612355281809968,0.00018795865523785365,6.0
50,Trajectory similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00025891336687165506,0.0001625696211144304,6.0
50,Trajectory similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002671862174084441,0.00019960763734753418,6.0
50,Trajectory similarity,80PER_3_6C,2,0.004296805062458591,0.003717979458005376,1.0
50,Slope-adapted cohort,3_6C-80PER_3_6C,2,0.00045907794099926257,0.00035401146974137877,1.0
50,Slope-adapted cohort,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.00031022236051046314,0.00021626914105905671,1.0
50,Slope-adapted cohort,4_8C_80PER_4_8C,2,0.0008903615967344976,0.0006621243934758036,1.0
50,Slope-adapted cohort,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0008659718870200531,0.00042933707085136954,4.0
50,Slope-adapted cohort,5C_67PER_4C_NEWSTRUCTURE,6,0.0005067699984228645,0.0003306206235954175,5.0
50,Slope-adapted cohort,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00026536047306646054,0.00018739999332161687,6.0
50,Slope-adapted cohort,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00030314163256378184,0.0002183188457778765,6.0
50,Slope-adapted cohort,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002610009733289817,0.00019025091770982183,6.0
50,Slope-adapted cohort,80PER_3_6C,2,0.0028289850316283636,0.001907568810369311,1.0
50,Multivariate similarity,3_6C-80PER_3_6C,2,0.0004825939473891292,0.00029343555214033534,1.0
50,Multivariate similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0013501882329118927,0.001113363866555641,1.0
50,Multivariate similarity,4_8C_80PER_4_8C,2,0.0012221659419943277,0.001079282585448491,1.0
50,Multivariate similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007811817264998697,0.0003135740296833998,4.0
50,Multivariate similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.00024981159208328936,0.00019186034490931627,5.0
50,Multivariate similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00029412342990934155,0.00021463629341840967,6.0
50,Multivariate similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00026552072624639613,0.0001744049700109202,6.0
50,Multivariate similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00027499817572693234,0.00020729270198232959,6.0
50,Multivariate similarity,80PER_3_6C,2,0.004296805062458591,0.003717979458005376,1.0
50,Soft-policy neighbors,3_6C-80PER_3_6C,2,0.0003845777430819986,0.00029795717360050046,1.0
50,Soft-policy neighbors,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0026004792540095223,0.0020894686170983066,1.0
50,Soft-policy neighbors,4_8C_80PER_4_8C,2,0.0007936470766713963,0.0005757112971814982,1.0
50,Soft-policy neighbors,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007567523239223201,0.00028824755110885646,4.0
50,Soft-policy neighbors,5C_67PER_4C_NEWSTRUCTURE,6,0.0002358348557957496,0.00018587424609510275,5.0
50,Soft-policy neighbors,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00019038858094282162,0.00013537126928299146,6.0
50,Soft-policy neighbors,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002139138660326119,0.0001528980316819958,6.0
50,Soft-policy neighbors,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0001945448468615639,0.00015457791283635464,6.0
50,Soft-policy neighbors,80PER_3_6C,2,0.0031678025362061797,0.002131981834683907,1.0
75,Public Linear-Nested,3_6C-80PER_3_6C,2,0.0005299585722024087,0.0004394461500620717,1.0
75,Public Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0007035238084703834,0.0004916608402622702,1.0
75,Public Linear-Nested,4_8C_80PER_4_8C,2,0.0009574574271703693,0.0007817433769860727,1.0
75,Public Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007336353382929624,0.00045931664419839626,4.0
75,Public Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.0003210316178541329,0.0002304242386342666,5.0
75,Public Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00032326879507431464,0.0002214472177808172,6.0
75,Public Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0003347037090215963,0.00026739721291316583,6.0
75,Public Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00028705345360937034,0.00023106285238291661,6.0
75,Public Linear-Nested,80PER_3_6C,2,0.002840405733768459,0.0018614953484710163,1.0
75,Exact-policy mean delta,3_6C-80PER_3_6C,2,0.00034609124309106613,0.00027060373870180454,1.0
75,Exact-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0020794603320417097,0.0017910579746136057,1.0
75,Exact-policy mean delta,4_8C_80PER_4_8C,2,0.0013258008278456258,0.0010938049774063075,1.0
75,Exact-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00032381580536662054,0.00022674291710444327,4.0
75,Exact-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.0002577738253972308,0.00022497351714101572,5.0
75,Exact-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0003046461533763947,0.00022739576710008416,6.0
75,Exact-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00028600778752343694,0.00023594676177795808,6.0
75,Exact-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0003064084902483808,0.00025622332729617923,6.0
75,Exact-policy mean delta,80PER_3_6C,2,0.004369791313954222,0.003665386598230522,1.0
75,Trajectory similarity,3_6C-80PER_3_6C,2,0.00034609124309106613,0.00027060373870180454,1.0
75,Trajectory similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0020794603320417097,0.0017910579746136057,1.0
75,Trajectory similarity,4_8C_80PER_4_8C,2,0.0013258008278456258,0.0010938049774063075,1.0
75,Trajectory similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00032607795700542367,0.00020746690571870507,4.0
75,Trajectory similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.0002565829182826089,0.0001990563061400637,5.0
75,Trajectory similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00020407954745239147,0.00015086679709193877,6.0
75,Trajectory similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002491070079450091,0.0002072732442716041,6.0
75,Trajectory similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00028720510771362465,0.0002394693769875067,6.0
75,Trajectory similarity,80PER_3_6C,2,0.004369791313954222,0.003665386598230522,1.0
75,Slope-adapted cohort,3_6C-80PER_3_6C,2,0.0006418106579133904,0.0005577921008520215,1.0
75,Slope-adapted cohort,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0009874061693672005,0.000833422800286906,1.0
75,Slope-adapted cohort,4_8C_80PER_4_8C,2,0.00039563126721377755,0.0003302945437942206,1.0
75,Slope-adapted cohort,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003531491030581444,0.0002184523518130459,4.0
75,Slope-adapted cohort,5C_67PER_4C_NEWSTRUCTURE,6,0.00027024178632021077,0.00021364605241844766,5.0
