cutoff,ensemble,nominal_level,point_coverage,full_50_cycle_path_coverage,mean_interval_width,median_interval_width,calibration_batteries_per_outer_fold,calibration_note
50,global,0.9,0.9725,0.8,0.003999409923618217,0.002463239479092605,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
50,global,0.95,0.985,0.925,0.005373439084059987,0.0030217007179633715,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
50,horizon,0.9,0.9775,0.8,0.004198571397730429,0.002639917657319857,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
50,horizon,0.95,0.984,0.9,0.0056876416831067355,0.0034518529611888282,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
50,adaptive,0.9,0.9765,0.8,0.003277646203148399,0.002311881490230261,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
50,adaptive,0.95,0.9905,0.875,0.004638400401388091,0.003412212722505248,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
75,global,0.9,0.9865,0.8,0.003374912174309386,0.002526293704967153,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
75,global,0.95,0.996,0.875,0.004825110761285016,0.003634487651579643,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
75,horizon,0.9,0.981,0.75,0.003631365425803167,0.002553837672799819,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
75,horizon,0.95,0.9935,0.85,0.005818911359803938,0.0038106127636867715,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
75,adaptive,0.9,0.9635,0.725,0.0022254294760071136,0.0016413062981757154,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
75,adaptive,0.95,0.983,0.825,0.003426007480739712,0.0027064755705796806,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
100,global,0.9,0.973,0.775,0.0022291963735746856,0.0018329739155230618,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
100,global,0.95,0.9895,0.875,0.0032419297315855644,0.0026272703448380064,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
100,horizon,0.9,0.974,0.75,0.0022233126388093456,0.0017795841462048267,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
100,horizon,0.95,0.9895,0.85,0.00301976462070351,0.0023900373927226437,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
100,adaptive,0.9,0.9725,0.75,0.002189373481979545,0.0016606853118694698,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
100,adaptive,0.95,0.9875,0.875,0.0031473893664152215,0.002299353432145601,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
125,global,0.9,0.968,0.85,0.0023753058209982905,0.002090546240286484,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
125,global,0.95,0.987,0.9,0.004527544030250874,0.0033393857013254147,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
125,horizon,0.9,0.9665,0.8,0.0025980941502148046,0.002018864180320601,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
125,horizon,0.95,0.9875,0.875,0.00506087768238531,0.0033250648067897903,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
125,adaptive,0.9,0.978,0.75,0.002157622910272161,0.001841104775507696,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
125,adaptive,0.95,0.99,0.95,0.00430632526035462,0.0032972876547474606,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
150,global,0.9,0.9705,0.75,0.002680780468211773,0.0019371780663467453,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
150,global,0.95,0.9865,0.85,0.0038746145741334194,0.002795299398389184,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
150,horizon,0.9,0.9755,0.8,0.0030251120651100215,0.001841228216760471,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
150,horizon,0.95,0.988,0.85,0.004436076590962588,0.002853298790499892,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
150,adaptive,0.9,0.976,0.8,0.0025391678588285293,0.001818486722540369,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
150,adaptive,0.95,0.99,0.85,0.0038355916032510487,0.0029332992425584736,39,battery-grouped meta cross-fit; max normalized residual calibrated separately in five 10-cycle horizon bins
