outer_target_battery,cutoff,ensemble,horizon_bin,expert,weight
1,50,adaptive,1-10,feature_ml,0.11152806712537869
1,50,adaptive,1-10,gp,0.0735640890694149
1,50,adaptive,1-10,linear20,0.11690522347856805
1,50,adaptive,1-10,linear30,0.561843884436943
1,50,adaptive,1-10,linear50,0.0003661366726256576
1,50,adaptive,1-10,same_policy,0.1357925992170697
1,50,adaptive,11-20,feature_ml,0.20941785485129163
1,50,adaptive,11-20,gp,0.0010588268153147147
1,50,adaptive,11-20,linear20,0.18678473177063265
1,50,adaptive,11-20,linear30,0.3836903395094038
1,50,adaptive,11-20,linear50,0.0012506371114677365
1,50,adaptive,11-20,same_policy,0.21779760994188954
1,50,adaptive,21-30,feature_ml,0.3370095327498306
1,50,adaptive,21-30,gp,0.00176927599479106
1,50,adaptive,21-30,linear20,0.17299626095757728
1,50,adaptive,21-30,linear30,0.47239628867114214
1,50,adaptive,21-30,linear50,0.004256653991754551
1,50,adaptive,21-30,same_policy,0.011571987634904147
1,50,adaptive,31-40,feature_ml,0.3263019165690063
1,50,adaptive,31-40,gp,0.004660986296806474
1,50,adaptive,31-40,linear20,0.1584759989005827
1,50,adaptive,31-40,linear30,0.4788894491117393
1,50,adaptive,31-40,linear50,0.009877315551283907
1,50,adaptive,31-40,same_policy,0.02179433357058145
1,50,adaptive,41-50,feature_ml,0.3384788149165322
1,50,adaptive,41-50,gp,0.004687625393447915
1,50,adaptive,41-50,linear20,0.15846217584452346
1,50,adaptive,41-50,linear30,0.414866611795121
1,50,adaptive,41-50,linear50,0.021504362376506377
1,50,adaptive,41-50,same_policy,0.062000409673868884
1,50,global,all,feature_ml,0.6277335632526239
1,50,global,all,gp,4.2310216662987415e-17
1,50,global,all,linear20,0.28992770430974807
1,50,global,all,linear30,0.08233873243762804
1,50,global,all,linear50,0.0
1,50,global,all,same_policy,9.78166335398651e-18
1,50,horizon,1-10,feature_ml,0.2096280284313489
1,50,horizon,1-10,gp,0.1461088051660691
1,50,horizon,1-10,linear20,0.22833948308784224
1,50,horizon,1-10,linear30,0.19920388133432396
1,50,horizon,1-10,linear50,6.938893903907228e-18
1,50,horizon,1-10,same_policy,0.21671980198041577
1,50,horizon,11-20,feature_ml,0.3915145904570405
1,50,horizon,11-20,gp,0.0
1,50,horizon,11-20,linear20,0.32513600672194376
1,50,horizon,11-20,linear30,0.2833494028210157
1,50,horizon,11-20,linear50,8.010025141693336e-18
1,50,horizon,11-20,same_policy,2.7755575615628914e-17
1,50,horizon,21-30,feature_ml,0.6650639671060667
1,50,horizon,21-30,gp,0.0
1,50,horizon,21-30,linear20,0.27475129136711457
1,50,horizon,21-30,linear30,0.06018474152681875
1,50,horizon,21-30,linear50,6.536304834877493e-18
1,50,horizon,21-30,same_policy,2.424220332688171e-17
1,50,horizon,31-40,feature_ml,0.6332942941277592
1,50,horizon,31-40,gp,0.0
1,50,horizon,31-40,linear20,0.2861714767955676
1,50,horizon,31-40,linear30,0.08053422907667328
1,50,horizon,31-40,linear50,0.0
1,50,horizon,31-40,same_policy,0.0
1,50,horizon,41-50,feature_ml,0.6619737513612003
1,50,horizon,41-50,gp,6.656960731810843e-17
1,50,horizon,41-50,linear20,0.28618674790958715
1,50,horizon,41-50,linear30,0.05183950072921249
1,50,horizon,41-50,linear50,1.2236677767585652e-18
1,50,horizon,41-50,same_policy,0.0
3,50,adaptive,1-10,feature_ml,0.2053800963581082
3,50,adaptive,1-10,gp,0.020966472204165615
3,50,adaptive,1-10,linear20,0.32328030036245964
3,50,adaptive,1-10,linear30,0.2620193526085404
3,50,adaptive,1-10,linear50,0.009382781549925733
3,50,adaptive,1-10,same_policy,0.17897099691680035
3,50,adaptive,11-20,feature_ml,0.20639857121108912
3,50,adaptive,11-20,gp,0.00949829169889486
3,50,adaptive,11-20,linear20,0.36648331416655244
3,50,adaptive,11-20,linear30,0.3715819495743101
3,50,adaptive,11-20,linear50,0.005591009286755167
3,50,adaptive,11-20,same_policy,0.04044686406239838
3,50,adaptive,21-30,feature_ml,0.22032060418239618
3,50,adaptive,21-30,gp,0.007634361988995883
3,50,adaptive,21-30,linear20,0.4117022825863801
3,50,adaptive,21-30,linear30,0.273725740397191
3,50,adaptive,21-30,linear50,0.005234759988825401
3,50,adaptive,21-30,same_policy,0.08138225085621148
3,50,adaptive,31-40,feature_ml,0.28803207206826986
3,50,adaptive,31-40,gp,0.004572631171065821
3,50,adaptive,31-40,linear20,0.4634953047911927
3,50,adaptive,31-40,linear30,0.2004161438985629
3,50,adaptive,31-40,linear50,0.003359807907427466
3,50,adaptive,31-40,same_policy,0.040124040163481214
3,50,adaptive,41-50,feature_ml,0.31676881217844793
3,50,adaptive,41-50,gp,0.005875401708329944
3,50,adaptive,41-50,linear20,0.43241942165485664
3,50,adaptive,41-50,linear30,0.19331993727366126
3,50,adaptive,41-50,linear50,0.004140897691309443
3,50,adaptive,41-50,same_policy,0.04747552949339469
3,50,global,all,feature_ml,0.2612023528174471
3,50,global,all,gp,1.2214606847359345e-17
3,50,global,all,linear20,0.34314711523690433
3,50,global,all,linear30,0.3131645464260118
3,50,global,all,linear50,4.863755186710629e-18
3,50,global,all,same_policy,0.08248598551963682
3,50,horizon,1-10,feature_ml,0.1532832913446866
3,50,horizon,1-10,gp,5.3057198493217166e-18
3,50,horizon,1-10,linear20,0.32734293772493683
3,50,horizon,1-10,linear30,0.2948145177389556
