cutoff,model,horizon_bin,RMSE,MAE
50,Persistence,1-10,0.0006404470401709646,0.00025305199537956817
50,Persistence,11-20,0.001018264582803679,0.0005498227381338292
50,Persistence,21-30,0.0014039765071782765,0.0009099404480490833
50,Persistence,31-40,0.00199834175790292,0.0012633166319118915
50,Persistence,41-50,0.0024747618107939786,0.001630858281991126
50,Linear-10,1-10,0.0005443785980886686,0.00023925121895857133
50,Linear-10,11-20,0.0009814133514180158,0.0004816354520181862
50,Linear-10,21-30,0.0012855821733814847,0.0007034174161611178
50,Linear-10,31-40,0.0016416075606791956,0.0009262717749595889
50,Linear-10,41-50,0.0021215969696158623,0.0012225654573307112
50,Linear-20,1-10,0.0004981014533359653,0.00020214926141661204
50,Linear-20,11-20,0.000627646572236434,0.0002701060685926243
50,Linear-20,21-30,0.0005347664114923075,0.0003556148012645838
50,Linear-20,31-40,0.0008035943454791382,0.0004991497028946318
50,Linear-20,41-50,0.0009414208996034037,0.0006455842555408958
50,Linear-30,1-10,0.0005139895029884102,0.00019893872966169013
50,Linear-30,11-20,0.0006326144200550444,0.0003408330869063117
50,Linear-30,21-30,0.0006285744954524008,0.0005311443966672072
50,Linear-30,31-40,0.0009072405382741524,0.0007248873027680198
50,Linear-30,41-50,0.0010815105042896235,0.0009332960076199942
50,Linear-50,1-10,0.001454595498858892,0.0010180982821813836
50,Linear-50,11-20,0.0024199304316821816,0.0016827675327144704
50,Linear-50,21-30,0.003274208803649587,0.0023575078170735876
50,Linear-50,31-40,0.004234212610770736,0.0030298415469454053
50,Linear-50,41-50,0.005175437079006453,0.0037029313153804037
50,Linear-Nested,1-10,0.0004981014533359653,0.00020214926141661204
50,Linear-Nested,11-20,0.000627646572236434,0.0002701060685926243
50,Linear-Nested,21-30,0.0005347664114923075,0.0003556148012645838
50,Linear-Nested,31-40,0.0008035943454791382,0.0004991497028946318
50,Linear-Nested,41-50,0.0009414208996034037,0.0006455842555408958
50,Same-policy mean delta,1-10,0.0006691282617199985,0.00025433921370320966
50,Same-policy mean delta,11-20,0.0009733932076477689,0.00038583751382314374
50,Same-policy mean delta,21-30,0.0008811313660817423,0.00047444635522138096
50,Same-policy mean delta,31-40,0.0013295966290773902,0.000632766100981938
50,Same-policy mean delta,41-50,0.001521500159103634,0.0007731806557889914
