model,n_batteries,n_points,MAE,overall_RMSE,mean_battery_RMSE,median_battery_RMSE,worst_battery_RMSE,cutoff
Persistence,40,2000,0.0009213980190930997,0.0016453571652445213,0.0010960433788708313,0.000766547926521464,0.00595915363889191,50
Linear-10,40,2000,0.0007146282638856352,0.001421850261713736,0.0008297948021728943,0.0004969743618062067,0.006099448445648589,50
Linear-20,40,2000,0.00039452081794186955,0.0007014353248321662,0.00048665827154456716,0.00028894524552017063,0.002341701847626534,50
Linear-30,40,2000,0.0005458199047246446,0.000781312034356807,0.0006688107740547096,0.000579305581662303,0.0017152833310573141,50
Linear-50,40,2000,0.0023582292988590502,0.003561068941802259,0.0025812285067084626,0.002035645776043239,0.017308259414951153,50
Linear-Nested,40,2000,0.00039452081794186955,0.0007014353248321662,0.00048665827154456716,0.00028894524552017063,0.002341701847626534,50
Same-policy mean delta,40,2000,0.0005041139679037328,0.0011184283063144153,0.0006360471346644156,0.0003375866783368996,0.004296805062458591,50
Persistence,40,2000,0.0009735676919719098,0.0017030198150415283,0.001135050403372401,0.0007093227586168211,0.006552230769638436,75
Linear-10,40,2000,0.0005462990162945118,0.0007927434428132665,0.0006345946403252852,0.00047461756390713414,0.0021015581403263017,75
Linear-20,40,2000,0.00034742361677165976,0.0007528667540038996,0.0004218629429256551,0.0002718204582982893,0.003998994361321866,75
Linear-30,40,2000,0.0003371612047700132,0.0005351304954504574,0.0004105087745533864,0.00028914816377238815,0.0015886171815985943,75
Linear-50,40,2000,0.0004475495896729008,0.000626090930053837,0.0005216883973513802,0.0004539900385881018,0.001613500823513654,75
Linear-Nested,40,2000,0.0003966792766474682,0.0007893484217798863,0.00047076820404646813,0.00028914816377238815,0.003998994361321866,75
Same-policy mean delta,40,2000,0.0005290555814873083,0.0011553782442354952,0.0006325415839289772,0.00031569537059449287,0.004369791313954222,75
Persistence,40,2000,0.0010814638878004943,0.001851032879733325,0.001278455948629089,0.000899104440660958,0.006591928811926455,100
Linear-10,40,2000,0.0007491340131821273,0.0011052019400434987,0.0008554781904508083,0.0007037492311656951,0.0028266283098021326,100
Linear-20,40,2000,0.0003991466692273191,0.0007708871026577075,0.00047459390811821245,0.0002598435693775588,0.0037517508320247805,100
Linear-30,40,2000,0.0002893543511388139,0.0005170378482788854,0.0003698819079749029,0.00023811887389046558,0.0020065918660535417,100
Linear-50,40,2000,0.00031401043208411977,0.0005705369819247524,0.00039136921783992863,0.0002453928497872454,0.0022674559451055535,100
Linear-Nested,40,2000,0.0002893543511388139,0.0005170378482788854,0.0003698819079749029,0.00023811887389046558,0.0020065918660535417,100
Same-policy mean delta,40,2000,0.0006183109384222135,0.0012623176172777664,0.0007391437712084424,0.0002991294179287494,0.004435737571674197,100
Persistence,40,2000,0.0013204945617327044,0.0020193394785658204,0.0015341677708792512,0.0011168201407175252,0.006618417159760282,125
Linear-10,40,2000,0.0005778717393674391,0.0008945843466948343,0.0006780332567029625,0.00048388712828084917,0.003207433148509908,125
Linear-20,40,2000,0.0005884133732403753,0.0007877452922997694,0.0006974133110706208,0.0006583270533324135,0.0020095830854124338,125
Linear-30,40,2000,0.0005041667846751541,0.0007058296752140089,0.000598106969791104,0.000543177577997063,0.0020971362858567557,125
Linear-50,40,2000,0.00037788877555688103,0.0006313275034291059,0.0004717180352944943,0.00037242134729853634,0.002238793205391942,125
Linear-Nested,40,2000,0.00037788877555688103,0.0006313275034291059,0.0004717180352944943,0.00037242134729853634,0.002238793205391942,125
Same-policy mean delta,40,2000,0.0005705498879287667,0.0012247079270761333,0.0007141045181576202,0.0003084064798930048,0.004097180507763583,125
Persistence,40,2000,0.0013890124813831152,0.002109646702048676,0.001619736847579302,0.001133593104907403,0.006424767520483815,150
Linear-10,40,2000,0.000931220216310108,0.0016932177726641528,0.0010751891495543997,0.0006481522076094964,0.007461895355002558,150
Linear-20,40,2000,0.0004714831691656318,0.0007349848155984413,0.0005543917248441893,0.00046561393654448197,0.0031349157797553114,150
Linear-30,40,2000,0.0003592485193680151,0.0005955597471609389,0.0004263649149611904,0.00033429496078334346,0.0022365062890948983,150
Linear-50,40,2000,0.00031024816726016476,0.0005684707818042986,0.00038879485254217155,0.00026068022552316926,0.0023322932722179917,150
Linear-Nested,40,2000,0.0003361267654739724,0.000615885245193874,0.0004098649823593878,0.00026068022552316926,0.0023322932722179917,150
Same-policy mean delta,40,2000,0.0006205372442667867,0.0013470971541596555,0.0007669531535309681,0.00025861110297592223,0.004174319081089242,150
