cutoff,model,policy,n_batteries,RMSE,MAE
50,Persistence,3_6C-80PER_3_6C,2,0.0005703233969896591,0.00043533062556015743
50,Persistence,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.005332634628022158,0.00457391338912442
50,Persistence,4_8C_80PER_4_8C,2,0.0013966350722395648,0.0010559014944239375
50,Persistence,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0009503271464177001,0.000603124238889785
50,Persistence,5C_67PER_4C_NEWSTRUCTURE,6,0.0005789235757714488,0.00044420252889610675
50,Persistence,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0006559531593049921,0.0005143630356778272
50,Persistence,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0009384023811975003,0.0007846750106797229
50,Persistence,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0008259667165752066,0.0006680658376021018
50,Persistence,80PER_3_6C,2,0.003632087669307347,0.002637533094981913
50,Linear-10,3_6C-80PER_3_6C,2,0.0012913903855777873,0.001032919372141058
50,Linear-10,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.00014850979811682633,0.00012319512847559167
50,Linear-10,4_8C_80PER_4_8C,2,0.0009892532399653703,0.0007698471845740651
50,Linear-10,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0023642213400388505,0.0014167187353102376
50,Linear-10,5C_67PER_4C_NEWSTRUCTURE,6,0.0007517567320483461,0.00048504998598751975
50,Linear-10,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0004574185210011259,0.00035944796458645264
50,Linear-10,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0007379896001826433,0.0005630465166167003
50,Linear-10,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0004597727094517944,0.0003570886241191123
50,Linear-10,80PER_3_6C,2,0.004326331773874589,0.002891115927655906
50,Linear-20,3_6C-80PER_3_6C,2,0.000629593755008825,0.0005519862009138621
