battery_id,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,soh_1,soh_25,soh_50,soh_75,soh_100,soh_125,soh_150,slope_1_50,slope_51_100,slope_101_150,slope_1_150,IR_late_minus_early,Tavg_late_minus_early,chargetime_late_minus_early,global_id,prediction_test,matr_source_key,external_eol_cycles,eol_status
1,3.6,80.0,3.6,1.0706892,13.4086513554808,0.0168063184861228,31.9552510590903,1.0003771091243534,1.005305405153989,1.0051977922257926,1.0050314320906573,1.0048354461780318,1.0042290890764565,1.003396261025142,-0.0004804858229190582,-1.813166434375578e-05,-4.610534107964913e-05,-0.00010240706118255767,6.077760000007537e-06,-0.15397863006522527,-0.012320333333324385,1,0,MATR_b1c0.pkl,1858.0,available
2,3.6,80.0,3.6,1.0845895,13.3700453282399,0.0171016934490662,31.5492130949076,0.9914361147696892,0.997570426414786,0.997371111374396,0.996994070106708,0.996449831941025,0.995925458433813,0.995243813442782,5.89118307468802e-05,-2.1039241091663475e-05,-2.3229237010516743e-05,-8.126861974536661e-06,0.0008029012000000009,-0.32525979093359325,0.0033856000000191955,2,1,MATR_b1c1.pkl,,withheld_test_label
3,3.6,80.0,3.6,1.0880535,13.3673534835601,0.016982372835034,31.7545236474274,0.9925268380644886,0.997834807755317,0.9979825302708,0.997771525021518,0.997254629482833,0.996729705846266,0.996124326607101,5.576808268482356e-05,-1.7503955325669525e-05,-2.071017764522922e-05,-4.882703777793961e-06,0.0008261751599999978,-0.32977698152873813,3.353333333500075e-05,3,0,MATR_b1c2.pkl,2237.0,available
4,,80.0,3.6,1.024101,13.7314586052367,0.0174045610362538,32.1000492411474,0.999277151374718,0.996806755388385,0.993845777906672,0.990145493462071,0.986610724918734,0.982049363295222,0.977270365911175,-0.00011878797148656348,-0.00013336003341217001,-0.00018486186922779578,-0.00014934521789384912,0.00025608335999999926,0.001895033284505132,-0.017069266666650762,54,0,MATR_b1c0.pkl,1858.0,available
5,,80.0,3.6,1.0322267,13.6804953856609,0.0173730390550459,32.1549737009787,0.996675023035153,0.999222772478177,0.999251380534915,0.998905637685985,0.998239083526903,0.997459075608101,0.996307250141854,4.651035681192392e-05,-2.2285340196370546e-05,-3.9756287606809215e-05,-1.4648701147805744e-05,0.00015056863999999767,-0.2646032579539934,-0.0034749333333490284,55,1,MATR_b1c1.pkl,,withheld_test_label
6,,80.0,3.6,1.0364138,14.828321327044,0.0174475447896226,32.2245966251458,0.997448509466007,0.999364307962707,0.999078669157049,0.998494008860167,0.997945796360488,0.997209410951495,0.996165860585801,2.844932431227847e-05,-2.5984468466830385e-05,-3.434771178943797e-05,-1.7917438085060332e-05,0.00021862984000000155,-0.266261531475358,0.006867533333346998,56,0,MATR_b1c2.pkl,2237.0,available
7,4.8,80.0,4.8,1.0734261,12.9231478085242,0.0178100875916031,30.0982203551668,0.996484890762392,0.999080495620518,0.999419158896919,0.998840865710271,0.997816291219302,0.996530385277571,0.994693146551961,5.9829512974791726e-05,-2.9718687784890312e-05,-6.19601950392388e-05,-2.0834681494325162e-05,0.00011199623999999866,-0.09143570396703993,0.011435599999995105,71,0,MATR_b2c24.pkl,494.0,available
8,4.8,80.0,4.8,1.0721645,13.2409229226557,0.0178863115523614,29.5184064262147,0.997380280731175,0.999695569103435,0.999262090845201,0.997876351996359,0.995831558496854,0.993114223610276,0.989687086263349,3.537691040137223e-05,-6.763215099598826e-05,-0.00012391656136276406,-6.114464918155355e-05,-0.00020727300000000087,-1.2322649510013015,0.045342466666726366,72,0,MATR_b2c25.pkl,460.0,available
9,4.8,80.0,4.8,1.0825263,13.1452157864793,0.0182922469518072,32.2842284021125,0.997098980412762,0.999707180324395,0.99912841378542,0.997516392904265,0.995189941343688,0.992385187316003,0.988996368956579,3.795481898171225e-05,-7.834643650802828e-05,-0.00012360300815123768,-6.733893827925962e-05,-0.00024971896000000604,0.33248598529229056,0.017788533333394696,73,1,MATR_b2c26.pkl,,withheld_test_label
10,5.0,67.0,4.0,1.0713712,10.1554366633597,0.0153010837331349,33.1015310495823,0.997777763673319,0.999611983222995,0.999474985887244,0.998866489970983,0.998258456079462,0.99785933670795,0.997163961472924,3.317104540454779e-05,-2.330448776559617e-05,-2.439841278421401e-05,-1.3780221951323572e-05,-2.3350240000000883e-05,0.3923741321273866,-0.0006942000000549342,95,1,MATR_b3c0.pkl,,withheld_test_label
11,5.3,54.0,4.0,1.0687399,10.1429989124294,0.0152176626817326,36.1809017963529,0.998319956052918,0.999760685457706,0.999363816210099,0.998624726184547,0.997973842840527,0.997505665316697,0.996765143698668,1.9108130412263424e-05,-2.6239987155442957e-05,-2.488165527188351e-05,-1.9349802453795216e-05,4.1384919999996536e-05,0.5466075927996812,-0.00018106666659178927,96,1,MATR_b3c1.pkl,,withheld_test_label
12,5.6,19.0,4.6,1.0632137,10.1973217061611,0.0148276764976303,38.7783848292256,0.998717567315019,0.9996865399684,0.999259429219168,0.998358697785779,0.997769051508648,0.997206238971525,0.996427994673131,8.411039699928073e-06,-2.9745660950099953e-05,-2.806740516970049e-05,-2.258146914839393e-05,-0.00017432199999999932,1.3093377392089138,-0.000509666666664188,97,0,MATR_b3c2.pkl,,unavailable_quality_exclusion
13,5.6,36.0,4.3,1.0655342,10.1874366906044,0.0151619419335727,37.7013361874169,0.998611757370153,0.99973570064668,0.999525918548649,0.998773033282273,0.998239493392141,0.997815405643479,0.997017918336173,1.8313452469843937e-05,-2.5680338323725943e-05,-2.5916957486509065e-05,-1.7678112909209386e-05,6.168348000000143e-05,0.41848527031688576,-0.0011041999999630292,98,0,MATR_b3c3.pkl,1113.0,available
14,5.6,19.0,4.6,1.075265,10.2384849761222,0.0152648863094556,32.9485474141625,0.998492055446797,0.999691927106341,0.999678800109741,0.999077092623679,0.998655643027533,0.998162820328012,0.997543986831153,2.4287398060364753e-05,-1.891269311220377e-05,-2.5655430125997944e-05,-1.2874625435048423e-05,4.142760000000814e-06,0.3765123344024417,-0.00017486666678756535,99,1,MATR_b3c4.pkl,,withheld_test_label
15,5.6,36.0,4.3,1.0540558,10.1995672108021,0.0152410719250302,35.8915947953535,0.998717439816754,0.999777431137896,0.999500761724379,0.998695875493498,0.997997155368814,0.997358507965138,0.996200533216553,1.3482129348753856e-05,-3.0024792086431705e-05,-3.748080056300982e-05,-2.2956248483265348e-05,-3.3827239999999204e-05,0.8782713011970884,0.0001290666665774154,100,0,MATR_b3c5.pkl,826.0,available
16,3.7,31.0,5.9,1.0630716,10.8382723823823,0.0143967801201201,35.1956998849954,0.999707319807998,0.996277113413621,0.991466040481187,0.98674102948475,0.981993475321888,0.977235028195655,0.972184136045023,-0.00017976800346418946,-0.00018932187224479345,-0.00019575287403821994,-0.0001903338755905286,0.0002893461599999987,0.32408214872938856,0.0942176666666974,101,1,MATR_b3c6.pkl,,withheld_test_label
17,4.8,80.0,4.8,1.070919,11.1726831852861,0.0156475541106267,33.488542659486,0.998088426855813,0.999671749217261,0.999496119687857,0.999325004972365,0.998809620522187,0.998664941045962,0.99823767250371,2.3178428936920346e-05,-1.6115701154079208e-05,-1.5084229297549582e-05,-7.006831656164957e-06,8.130560000004991e-06,0.3890332231344331,-0.002814466666551496,102,0,MATR_b3c7.pkl,1834.0,available
18,5.0,67.0,4.0,1.0687144,10.182849490125,0.0152228917122128,34.2778011753314,0.997850651212335,0.999770701133998,0.999829973283789,0.999178087242017,0.998487346104815,0.997810495488785,0.996899227707608,3.598812606112498e-05,-2.7651347298419176e-05,-3.305706069152983e-05,-1.572289265917493e-05,-8.016572000000069e-05,0.49558959900206645,1.926666670115651e-05,103,0,MATR_b3c8.pkl,826.0,available
19,5.3,54.0,4.0,1.0733707,10.2038060613359,0.0160801557148362,33.8440951926936,0.997982383905206,0.999905661669356,0.999842323812267,0.999501570147201,0.999129368819179,0.998793021832998,0.998351338451851,3.200164467715995e-05,-1.4549890294547539e-05,-1.784315212505979e-05,-6.629451687265591e-06,4.794932000000071e-05,0.3929234769899921,0.00024733333343895936,104,0,MATR_b3c9.pkl,1036.0,available
20,4.8,80.0,4.8,1.0650008,11.2108420194987,0.0154884690352832,33.4928467555288,0.998256874548827,0.999771925053953,0.999830014212196,0.99928179866156,0.998639691162673,0.998226569407272,0.997503208448294,2.9723718716670586e-05,-2.2271947737377178e-05,-2.3225579235621133e-05,-1.2634448297099386e-05,-2.6389360000001957e-05,0.4258248270439253,-0.0017146666666736365,105,0,MATR_b3c10.pkl,1076.0,available
21,5.6,19.0,4.6,1.0707607,10.2959345772059,0.0156314659215686,35.5207162074213,0.998594008913476,0.999863176711659,0.999490525754261,0.998735595170798,0.997721913962662,0.996820615474587,0.995676727769333,1.3743353962223161e-05,-3.605821278916562e-05,-4.2912448155047555e-05,-2.735136204097599e-05,-2.6021200000000272e-05,0.5311798053993186,0.00035353333330334635,106,0,MATR_b3c11.pkl,815.0,available
22,5.6,36.0,4.3,1.076943,10.2544309470103,0.0161958683576799,34.2100576161686,0.99853890131604,0.999909702741928,0.999705662230963,0.999246157874651,0.998757209063061,0.998461162754203,0.99790275808469,2.1040947260469837e-05,-1.9034259459413533e-05,-1.9199174707230034e-05,-1.135558540943281e-05,3.132856000000184e-05,0.44558749449033996,0.0005265333332555855,107,0,MATR_b3c12.pkl,930.0,available
23,5.6,19.0,4.6,1.0696447,10.2880135787321,0.0151389205361963,35.4451970897155,0.997818406429724,0.999888416218956,0.999571988717375,0.998838268445587,0.99783558035673,0.996903289475468,0.995772255030105,3.0398673016373767e-05,-3.5033326266843e-05,-4.213457355448814e-05,-2.4641279496685158e-05,-0.000141546519999999,0.5645822699286782,0.0005110000000367876,108,0,MATR_b3c13.pkl,814.0,available
24,5.6,36.0,4.3,1.0777442,10.2485632672112,0.0155812685682614,34.2253189468104,0.997241516122286,0.999672700627849,0.999834965476966,0.999410263585738,0.998794468112192,0.998255123989533,0.997516660261313,4.891029726551354e-05,-2.238414547086997e-05,-2.9661397425856374e-05,-8.930677331189856e-06,-1.4707639999996663e-05,0.44324138659188606,-0.00042260000011928867,109,1,MATR_b3c14.pkl,,withheld_test_label
25,4.8,80.0,4.8,1.0643399,11.1423314253717,0.0153314431325596,36.2924566578661,0.998221132177794,0.999873268868338,0.999631959677543,0.998920993190239,0.998292801012158,0.997985991129337,0.997304094302957,2.6929842857743915e-05,-2.9819844374968027e-05,-2.123984558508912e-05,-1.5228354460775302e-05,-4.002207999999688e-05,0.5207466330895301,-0.0017882666667325964,111,1,MATR_b3c16.pkl,,withheld_test_label
26,5.3,54.0,4.0,1.069051,10.156982147387,0.0157023014520548,36.3732818978054,0.99888517011817,0.997246950800289,0.998497321456133,0.997974568098248,0.997573015693358,0.996876463330561,0.995957929041739,3.456723234541729e-06,-1.8082592584901797e-05,-3.13655742891796e-05,-1.4730649500565198e-05,-0.00013385475999999792,0.6594932270839635,0.00023693333323215882,112,0,MATR_b3c17.pkl,1313.0,available
27,5.6,19.0,4.6,1.0701538,10.2198757714701,0.0151870220279476,36.8258501633071,0.999055247946604,0.999764575895539,0.999050963515712,0.998101170130873,0.997180101589136,0.996555266168283,0.995656278564819,-3.799517875170661e-06,-3.936211117050265e-05,-2.956079008151812e-05,-3.009073184074653e-05,1.6286520000002164e-05,0.6593850581977776,0.00024539999995631945,113,0,MATR_b3c18.pkl,1143.0,available
28,5.6,36.0,4.3,1.0738997,10.2056660384171,0.0157107922400347,36.4354554222638,0.999197858049499,0.99987949526385,0.999152239264058,0.998160228557658,0.997282339309714,0.996561778534811,0.995663156438166,-4.77899978384293e-06,-3.80089643065785e-05,-3.329431877443687e-05,-3.0860636853331734e-05,3.1361600000001655e-05,0.6089788758254429,-9.373333340789713e-05,114,0,MATR_b3c19.pkl,1152.0,available
29,5.0,67.0,4.0,1.0681109,10.1844151334154,0.0153900020837438,34.2488122883073,0.998365188483705,0.999892876292153,0.999702821120916,0.999188553360892,0.998514377111965,0.997884053987278,0.997093808330202,2.399017147702791e-05,-2.4163800526231857e-05,-2.975931523551808e-05,-1.629544403293502e-05,3.218548000000036e-05,0.4659007043661205,0.0001600666665080297,115,0,MATR_b3c20.pkl,811.0,available
30,3.7,31.0,5.9,1.0686967,10.8033723951577,0.0147235309442283,36.6638177137284,0.999629848206699,0.997889101744209,0.99412850250216,0.990116002978207,0.986254486422574,0.982556276256865,0.978803668056615,-0.00012314350356309954,-0.0001578287143307057,-0.00014638132111190929,-0.0001500975923882012,0.00019215976000000294,0.9226210998561584,0.0651971333333563,116,0,MATR_b3c21.pkl,770.0,available
31,5.0,67.0,4.0,1.0511289,10.1645542677994,0.0156254359247573,36.0629472851473,0.997311956697224,0.999370786018727,0.999788641526268,0.999537083415745,0.999065281146775,0.998363687840759,0.997502841944504,4.7232772535373696e-05,-1.5661888723209335e-05,-2.999826767053522e-05,-7.042900073145172e-06,-4.032400000002906e-06,0.517371484985766,-8.326666672786587e-05,119,0,MATR_b3c24.pkl,823.0,available
32,5.3,54.0,4.0,1.0654705,10.1516542560729,0.0158067213299595,37.0596551133752,0.997510986930187,0.99959336274444,0.999757440492252,0.999477648606883,0.999064859139695,0.998431739780688,0.997524427001968,4.457487227604043e-05,-1.4780443502635955e-05,-3.009537722034431e-05,-8.092442850352165e-06,3.745311999999931e-05,0.5697000057742088,-0.0005853333333529775,120,0,MATR_b3c25.pkl,988.0,available
33,5.6,19.0,4.6,1.0758095,10.2456923677378,0.0158283227020448,37.351300097473,0.997909611320592,0.999682099851321,0.999693370434078,0.999269340900968,0.998748435480445,0.998059047628785,0.997265152427079,3.3053357911988394e-05,-1.8620776190548932e-05,-3.0315891574316196e-05,-1.2635988174672005e-05,2.5181680000001608e-05,0.6405616627104465,0.000374666666759893,121,0,MATR_b3c26.pkl,1025.0,available
34,5.6,36.0,4.3,1.0644526,10.2173661484099,0.0150317367102474,36.7827816190045,0.99793305967781,0.999695251812997,0.999721058504625,0.999209776931354,0.998427595554748,0.997633976374336,0.996519741696342,3.341528088456479e-05,-2.6673562183095747e-05,-4.0337457397877186e-05,-1.7811235071859682e-05,1.467463999999842e-05,0.5535865507129571,-3.813333321289747e-05,122,0,MATR_b3c27.pkl,847.0,available
35,3.7,31.0,5.9,1.0526985,10.9003622808642,0.0142349387518519,37.5017204295249,0.999688343813542,0.997392563017806,0.992837004137462,0.987891110322661,0.982400297901061,0.976750954808048,0.971136559993198,-0.00015035539643496354,-0.00020939917790345058,-0.0002236302297849435,-0.00020270661647930872,0.0004385661999999988,0.9773747874722503,0.13837113333329576,123,0,MATR_b3c28.pkl,539.0,available
36,5.3,54.0,4.0,1.0723398,10.1718277480371,0.0156827995835118,33.1446326677589,0.998134453276844,0.999848639395833,0.999720457078997,0.999277943428007,0.99873659916381,0.998254433902388,0.997327955187339,2.8567080985636653e-05,-2.0162052801425475e-05,-2.8969520881423697e-05,-1.2867840059706006e-05,-3.5216400000020326e-06,0.3897528864663826,-0.00033733333325969284,125,0,MATR_b3c30.pkl,933.0,available
37,5.0,67.0,4.0,1.0629164,10.1144099012732,0.0154549562766952,34.074108795871,0.998665944000864,0.99983866087681,0.999631189244987,0.998971584218665,0.998186085001605,0.997476617163871,0.996525954440067,1.7243872688552317e-05,-2.9910834423648487e-05,-3.1070543192265086e-05,-2.1231664357884478e-05,-3.9088680000000375e-05,0.5278173857301098,0.00017266666666237995,128,0,MATR_b3c33.pkl,1282.0,available
38,5.3,54.0,4.0,1.0642781,10.1409416436186,0.0155329390216076,37.3183949827542,0.998648182274915,0.999857922473459,0.99933062138552,0.998543571459377,0.997552120070873,0.996778262185419,0.995720615692459,9.698899987199875e-06,-3.622511552088223e-05,-3.618783140100197e-05,-2.7918977346809155e-05,1.9032919999998482e-05,0.6920223258665743,0.00020966666673416512,129,0,MATR_b3c34.pkl,1156.0,available
39,5.6,19.0,4.6,1.0654298,10.2255189026251,0.0155038318296703,37.1445099087198,0.998950986728548,0.999884159425614,0.999388936746466,0.998595946912692,0.99794031479127,0.997346521563411,0.99638228628484,5.785219114868786e-06,-2.96418248798969e-05,-3.151406143141457e-05,-2.340380909786902e-05,-1.3598600000001154e-05,0.7125793517393362,0.0002575333332526242,130,0,MATR_b3c35.pkl,1091.0,available
40,5.6,36.0,4.3,1.0606048,10.1933407266812,0.0153117584880694,37.4656845936636,0.99837581349811,0.999789940607472,0.999154279709087,0.998281004385423,0.99733928698041,0.996441610484885,0.995339149888818,1.1260534843771123e-05,-3.780010596740506e-05,-3.8219845413301256e-05,-2.9356723512295436e-05,-2.868839999997999e-06,0.6571927525801371,-6.099999993480765e-05,131,0,MATR_b3c36.pkl,921.0,available
41,4.8,80.0,4.8,1.099805,11.1030957823375,0.0147891851738661,36.540912550649,0.95314922190752,0.954285841581008,0.95529133346366,0.954040052554771,0.953259586926773,0.952529930305827,0.951606657543837,4.577288582581908e-05,-3.815665320890359e-05,-3.278422296764351e-05,-1.7600006268794085e-05,7.069767999999706e-05,0.6292244832925036,-0.00040406666663095336,132,0,MATR_b3c37.pkl,,unavailable_quality_exclusion
42,5.0,67.0,4.0,1.0726566,10.1268713745261,0.016020166975181,36.2175029820195,0.998768962965407,0.999833045356734,0.999567140126672,0.999135492197596,0.998620206131207,0.998188036133838,0.997528799058338,1.3298887266130786e-05,-1.907863277824568e-05,-2.0899138232518542e-05,-1.4295860336310388e-05,-1.8129679999995957e-05,0.660367936598135,-0.0006088666666332898,133,0,MATR_b3c38.pkl,1932.0,available
43,5.3,54.0,4.0,1.0515106,10.1135283477634,0.0156783308831169,35.02828335,0.997503106483187,0.999808708537983,0.999585700800353,0.998919078894687,0.998078174390253,0.997315428869666,0.996289785381146,3.93167929714338e-05,-3.2661632760744434e-05,-3.3361547785111096e-05,-1.932551693873905e-05,-1.2181440000003443e-05,0.5689185188562078,0.0006780000000432551,134,0,MATR_b3c39.pkl,1154.0,available
44,5.6,19.0,4.6,1.0638335,10.275761475891,0.0154024676779874,35.6420392179827,0.997607557949623,0.999916528291316,0.999674098437396,0.99898071925729,0.998140141290907,0.997322912843034,0.996298809917153,3.631390134248948e-05,-3.08334098440329e-05,-3.741826411853431e-05,-2.048517688565276e-05,-0.00020202404000000188,0.9200772677944684,-0.0004952000000280066,135,0,MATR_b3c40.pkl,794.0,available
45,5.6,36.0,4.3,1.0548838,10.2448038980892,0.0184627738942675,34.7929750807789,0.997508408035084,0.99965814244185,0.999906179239837,0.999681097576814,0.999319052961094,0.998946130369999,0.998204295108144,4.6523254828564495e-05,-1.2726892798265447e-05,-2.1969819085752385e-05,-3.7383415034132095e-06,-7.2297600000013895e-06,0.4918051400448604,0.00012186666658031697,136,0,MATR_b3c41.pkl,784.0,available
46,4.8,80.0,4.8,1.0699885,11.1688661019703,0.0160106622023157,34.7899428590273,0.998311168764898,0.999812362469316,0.999889367969843,0.999587705849175,0.999192650201381,0.998790440271087,0.998228565073363,3.120810781237602e-05,-1.3824770769314484e-05,-2.3121123838853507e-05,-6.7680846566337245e-06,-0.0004545565200000032,1.2836727967407455,0.00011619999996703712,137,0,MATR_b3c42.pkl,,unavailable_right_censored
47,5.0,67.0,4.0,1.073334,10.1793261977671,0.0159244541636364,35.4303828599364,0.99828815634276,0.999819515640052,0.999791938017429,0.99965113375706,0.99921637626312,0.998751404502233,0.99824165171326,2.607748079990255e-05,-1.0105358068297501e-05,-2.0450422229603314e-05,-7.083692708699846e-06,-0.0003571772800000008,1.5021728886474648,0.0002703999999109641,138,0,MATR_b3c43.pkl,,unavailable_right_censored
48,5.3,54.0,4.0,1.0739049,10.1638524955626,0.0156670028477103,34.4465209353796,0.997564234970899,0.99978963221045,0.999838286425548,0.999491812543178,0.999033243073944,0.998712744489759,0.998173246066761,4.311438234570865e-05,-1.6695082006007093e-05,-1.9077910627543e-05,-6.175664012113735e-06,-6.545999999997901e-06,0.4749349150799347,1.9133333299947708e-05,139,0,MATR_b3c44.pkl,938.0,available
49,4.8,80.0,4.8,1.0721447,11.1468243490742,0.0156723353866667,33.7223749238768,0.998476334397773,0.999579692927643,0.999715322941017,0.999309482199558,0.998921829301586,0.998693571865813,0.998227184259737,2.2055260355228443e-05,-1.5749148101245593e-05,-1.7416919659481755e-05,-6.984232534212762e-06,-2.1568919999997646e-05,0.45369600054327464,0.000956333333453685,140,0,MATR_b3c45.pkl,1799.0,available
