model,cutoff,scope,group,n_batteries,n_points,MAE,RMSE,mean_battery_RMSE,median_battery_RMSE,worst_battery_RMSE
Final Power101+Linear50 hybrid,150,overall,all,40,2000,0.00027075855453619914,0.0004952391449642145,0.00033806639014124075,0.00023400157458058866,0.0022314623457110366
Final Power101+Linear50 hybrid,150,horizon,1-10,40,400,0.0001564813542822485,0.0002778394114414291,0.0001864413004189484,0.00012970285995814396,0.0012826534283767448
Final Power101+Linear50 hybrid,150,horizon,11-20,40,400,0.0002259337589197008,0.00042458566075505424,0.0002729558086710645,0.00017451774908069988,0.0020953681409120366
Final Power101+Linear50 hybrid,150,horizon,21-30,40,400,0.00027033711900310007,0.0005920521729690849,0.0003181584273956006,0.00017450667874075812,0.00308190366576282
Final Power101+Linear50 hybrid,150,horizon,31-40,40,400,0.00027460250743642864,0.00041534594931918534,0.0002987246653360175,0.000188319883673208,0.0014231928499308006
Final Power101+Linear50 hybrid,150,horizon,41-50,40,400,0.0004264380330395176,0.0006676850294279744,0.0004662047203836823,0.00034751958704223163,0.002934233217542231
Final Power101+Linear50 hybrid,150,policy,3_6C-80PER_3_6C,2,100,0.0008360319410396655,0.001580641671331498,0.0011817462960718329,0.0011817462960718329,0.0022314623457110366
Final Power101+Linear50 hybrid,150,policy,3_7C_31PER_5_9C_NEWSTRUCTURE,2,100,0.0003484803493004707,0.00046480485455445067,0.0004094333867462114,0.0004094333867462114,0.0006294512374649913
Final Power101+Linear50 hybrid,150,policy,4_8C_80PER_4_8C,2,100,0.0004052580321147992,0.0005398969840247621,0.0004584418484170625,0.0004584418484170625,0.0007436081595040862
Final Power101+Linear50 hybrid,150,policy,4_8C_80PER_4_8C_NEWSTRUCTURE,5,250,0.00023483061876096255,0.0003737564343851343,0.0003398996303363936,0.0003196805507124972,0.000522324267814319
Final Power101+Linear50 hybrid,150,policy,5C_67PER_4C_NEWSTRUCTURE,6,300,0.000138379045282645,0.0001801582151971287,0.0001686294894190964,0.00015260262745809308,0.00027909110077757663
Final Power101+Linear50 hybrid,150,policy,5_3C_54PER_4C_NEWSTRUCTURE,7,350,0.00017776274115575776,0.0002456815186861063,0.00021550339172376765,0.00018640571888275893,0.00046575225318860365
Final Power101+Linear50 hybrid,150,policy,5_6C_19PER_4_6C_NEWSTRUCTURE,7,350,0.00024153173307594905,0.00031887415110838955,0.00028534445348324486,0.00025137585458883,0.0005009921867245757
Final Power101+Linear50 hybrid,150,policy,5_6C_36PER_4_3C_NEWSTRUCTURE,7,350,0.00019499110974076147,0.0002323239409231054,0.00022798486174068012,0.00024168799986796404,0.00026985913665755756
Final Power101+Linear50 hybrid,150,policy,80PER_3_6C,2,100,0.0006731875416150668,0.0008346372111697583,0.0008051542531745104,0.0008051542531745104,0.0010250312707644077
