agent,cutoff,MAE,overall_RMSE,mean_battery_RMSE,median_battery_RMSE,worst_battery_RMSE
Agent 01 TCN,50,0.0008192059315022622,0.0022103880984801244,0.0009483027540693699,0.00042536454374793396,0.012506573735274926
Agent 01 TCN,75,0.0007152414622267707,0.0021485601490241393,0.0008512922287472683,0.0003519777419535655,0.012700192138093888
Agent 01 TCN,100,0.0007671743615403681,0.0021516149810306916,0.0008968470977187424,0.00043605959691134916,0.012635764630083564
Agent 01 TCN,125,0.0006519061336285257,0.0021026033428745844,0.0007936831793709214,0.0003264867704921693,0.012648153436934812
Agent 01 TCN,150,0.0006766191560429125,0.0021606714853590852,0.0008223371865674674,0.0003556338733855744,0.012882345206826757
Agent 02 Physics,50,0.000640750251916548,0.0009000339708042297,0.0007734318890830864,0.0005828262960612191,0.001895275088772278
Agent 02 Physics,75,0.0007642067930055962,0.00104741996584481,0.0009128190368939785,0.0007790784066674685,0.002384116504923681
Agent 02 Physics,100,0.0007476698446980542,0.0010278806157414727,0.0008998117030727777,0.0008348176832297572,0.0023150233589704985
Agent 02 Physics,125,0.0005810112452916627,0.0009058479189822235,0.0007166311137453444,0.000531552205146958,0.0030233792282704794
Agent 02 Physics,150,0.0002861904635298049,0.0005089625677417769,0.000354274248061723,0.00024065369405029007,0.00219397447589681
Agent 03 Tree ML,50,0.0002980148436067471,0.0005320185542734813,0.00039679879922748814,0.00026240608016801743,0.001611423863117118
Agent 03 Tree ML,75,0.0003292771760512217,0.0005865521970533611,0.00040034012932101126,0.00023771565496780048,0.0021547372676228543
Agent 03 Tree ML,100,0.00035181748251004357,0.0006662009515209527,0.00042957608753139195,0.00023629497718254353,0.0027000797963264963
Agent 03 Tree ML,125,0.0002656256532460952,0.0005452847137165433,0.00035747521575558267,0.0002145146077454126,0.002031127568879538
Agent 03 Tree ML,150,0.0002808987149924809,0.0005612097621004584,0.00035769688238643406,0.00023776877487013137,0.002521839735744345
Agent 04 GP,50,0.000615872831723058,0.0010130338541352033,0.0007732061935672718,0.0005215220420450402,0.003336838227803242
Agent 04 GP,75,0.00034679696107785593,0.0005382632236808952,0.0004265197955951529,0.0003271880656638489,0.0014830208796256102
Agent 04 GP,100,0.00033856427249052284,0.0006143488540330385,0.00041411266929768933,0.0002529432022722906,0.002214261829696067
Agent 04 GP,125,0.00033523515805003446,0.0005455811721788296,0.00043470107586846614,0.0003456912715794555,0.0018829004662215788
Agent 04 GP,150,0.0003962896136551545,0.0006784387226446101,0.0004952795065766843,0.00037409144577509095,0.00287924627970131
Agent 05 Inter-cell,50,0.00036455362556964404,0.0007922947747256241,0.0004691552456526155,0.0002898112997805799,0.003943458006148759
Agent 05 Inter-cell,75,0.0003744104060079986,0.00077618037052509,0.0004550533654955434,0.0003397310701852972,0.004147989580600799
Agent 05 Inter-cell,100,0.0003578883042685534,0.0006848334351340995,0.00043865843969870965,0.00025641332553273406,0.003195521487140462
Agent 05 Inter-cell,125,0.00038177118938688626,0.0007924308150519319,0.0004919495252872815,0.0003313941452726108,0.0033870303356434745
Agent 05 Inter-cell,150,0.00030713666667558334,0.0006927285742596029,0.00040167022686213685,0.00021834264097846646,0.002771201837149694
Agent 06 Ensemble,50,0.00033289044360191146,0.0006240769142197332,0.0004218765968555579,0.00025439226445652004,0.002375930017267161
Agent 06 Ensemble,75,0.00031866666170823145,0.0005801350836201153,0.0003911715470370938,0.0002961403637069352,0.0025878256691561777
Agent 06 Ensemble,100,0.00028340741204659563,0.0005555357943730374,0.00036006570282109295,0.00021418330150094368,0.0024932441342744686
Agent 06 Ensemble,125,0.0002623143476893712,0.0005136753757408427,0.000355755880969589,0.00024522802289141663,0.0020367617619635936
Agent 06 Ensemble,150,0.0002613371168628252,0.0005265411531070629,0.00033818708823788075,0.00020484815089843311,0.0024177734771361724
