use_policy,architecture,hidden_layers,parameters,n_input,seed,fold,battery_id,rmse,mae
False,linear,none,600,11,20260815,1,1,0.002108958949765432,0.0014690340030938387
False,linear,none,600,11,20260815,1,6,0.0001334193689189314,9.012698865262792e-05
False,linear,none,600,11,20260815,1,12,0.00046314340121808985,0.00035876035690307617
False,linear,none,600,11,20260815,1,13,0.00011533945790210771,0.00010036706953542307
False,linear,none,600,11,20260815,1,20,9.143126656995576e-05,7.648706377949566e-05
False,linear,none,600,11,20260815,1,22,0.00010588024044621644,8.468508895020932e-05
False,linear,none,600,11,20260815,1,47,0.00044028950142524276,0.00034980298369191587
False,linear,none,600,11,20260815,1,49,8.173548665762849e-05,7.254481170093641e-05
False,linear,none,600,11,20260815,2,3,0.0016856459948688522,0.0014971208292990923
False,linear,none,600,11,20260815,2,17,0.0002812490496871874,0.00023621798027306795
False,linear,none,600,11,20260815,2,30,0.00023261312671585377,0.00017553687212057412
False,linear,none,600,11,20260815,2,38,0.00018132926169940806,0.00013095379108563066
False,linear,none,600,11,20260815,2,40,0.0001459112816944047,0.00010668516188161448
False,linear,none,600,11,20260815,2,41,0.00034297785678992124,0.00029257297865115106
False,linear,none,600,11,20260815,2,42,9.13426061119283e-05,6.945252243895084e-05
False,linear,none,600,11,20260815,2,45,0.00014912357892107184,0.00012048602366121486
False,linear,none,600,11,20260815,3,7,0.0007734282169606585,0.0006156754679977894
False,linear,none,600,11,20260815,3,8,0.001788469220568899,0.0014663409674540162
False,linear,none,600,11,20260815,3,23,0.0005873432381043617,0.00047100544907152653
False,linear,none,600,11,20260815,3,26,0.00022169117318119924,0.0001846575760282576
False,linear,none,600,11,20260815,3,33,0.00020541143419240159,0.00016046404198277742
False,linear,none,600,11,20260815,3,34,5.8189862510367416e-05,4.6923159970901906e-05
False,linear,none,600,11,20260815,3,35,0.0005267088134082875,0.0004424297949299216
False,linear,none,600,11,20260815,3,37,0.00031117644771922197,0.0002558767737355083
False,linear,none,600,11,20260815,4,4,0.0004405782461072965,0.0003318929811939597
False,linear,none,600,11,20260815,4,15,0.00029829475430962166,0.00022767305199522525
False,linear,none,600,11,20260815,4,19,0.00016725279458451418,0.0001332533429376781
False,linear,none,600,11,20260815,4,27,0.00017412866280749054,0.00015046834596432745
False,linear,none,600,11,20260815,4,29,7.568436341096541e-05,6.250858132261783e-05
False,linear,none,600,11,20260815,4,43,0.0005804019845010443,0.0004971051239408553
False,linear,none,600,11,20260815,4,44,0.0002803567812466439,0.00021057724370621145
False,linear,none,600,11,20260815,4,48,0.00024667744999979193,0.00019717813120223582
False,linear,none,600,11,20260815,5,18,0.00033069331602985014,0.00026914835325442255
False,linear,none,600,11,20260815,5,21,0.00015685708303918763,0.0001281785953324288
False,linear,none,600,11,20260815,5,28,7.604289005945561e-05,6.142973870737478e-05
False,linear,none,600,11,20260815,5,31,8.309406440644902e-05,7.127404387574643e-05
False,linear,none,600,11,20260815,5,32,0.00015965624536505986,0.00013983130338601768
False,linear,none,600,11,20260815,5,36,6.560496451890634e-05,5.338430491974577e-05
False,linear,none,600,11,20260815,5,39,6.457926365050638e-05,4.8466921725776047e-05
False,linear,none,600,11,20260815,5,46,0.000470370974768213,0.0003977453743573278
False,linear,none,600,11,20260816,1,1,0.002106082579737492,0.0014601624570786953
