use_policy,architecture,hidden_layers,parameters,n_input,batteries_times_seeds,rmse_mean,rmse_sd,mae_mean,mae_sd
False,linear,none,600,11,120,0.00037012482863590956,0.0004655112903810426,0.000296569308496449,0.00036823620838403456
False,hidden_128_64,128-64,13042,11,120,0.0004065364896857123,0.0005454023827936055,0.00032798187727773134,0.0004423132032960984
False,hidden_32_16,32-16,1762,11,120,0.00040844348105297006,0.0005627341110994656,0.0003334670155102989,0.0004639199987898938
False,hidden_64_32,64-32,4498,11,120,0.0004133604024790478,0.000560471518869515,0.0003364129864470063,0.0004664015845611327
False,hidden_16_8,16-8,778,11,120,0.00044970597832149484,0.0006560590319873011,0.0003703836485631958,0.0005439532533717171
False,hidden_16,16,1042,11,120,0.0004869370573824207,0.0008884808941530565,0.00040292154875108585,0.0007483561532649826
False,bottleneck_4,4,298,11,120,0.0005361451361950469,0.001122473497654505,0.0004469606005538177,0.0009688211508035937
False,hidden_8,8,546,11,120,0.0005402977985898787,0.0011564799153036252,0.00044705502280824777,0.0009861933646446283
True,linear,none,750,14,120,0.0004207503367479212,0.0004985504562306646,0.000341282139136941,0.00040237062207259486
True,hidden_128_64,128-64,13426,14,120,0.0004505539830986668,0.0006352949839602733,0.0003688630089830743,0.0005175337707115728
True,hidden_16_8,16-8,826,14,120,0.0004778017836730505,0.000621150253907863,0.0003988685890969161,0.0005129789833860542
True,hidden_32_16,32-16,1858,14,120,0.000479405451006488,0.0006744344451393825,0.0003994464376091855,0.0005571058498258966
True,hidden_16,16,1090,14,120,0.0004842817510738356,0.0007390026536921832,0.00039907799045977297,0.00061141048934813
True,hidden_64_32,64-32,4690,14,120,0.00048815615146093354,0.0007146196469747634,0.0004043250788072328,0.0005923335072049283
True,hidden_8,8,570,14,120,0.0005442291784209212,0.0008761959758750425,0.0004502734383398395,0.0007387221167637578
True,bottleneck_4,4,310,14,120,0.0005465475235748045,0.0008737801887028767,0.0004508876307833513,0.0007351319815810406
