feature_set,architecture,hidden_layers,n_input,parameters,batteries_times_seeds,rmse_mean,rmse_sd,mae_mean,mae_sd
soh_only,linear,none,9,500,120,0.00033462659099489216,0.00042953031097357064,0.0002683967565947872,0.0003341475896123883
soh_ir_temp,linear,none,11,600,120,0.00037012482863590956,0.0004655112903810426,0.000296569308496449,0.00036823620838403456
soh_ir_temp,hidden_32_16,32-16,11,1762,120,0.00040844348105297006,0.0005627341110994656,0.0003334670155102989,0.0004639199987898938
soh_process,hidden_16_8,16-8,35,1162,120,0.00041228886160416336,0.0005053756935737512,0.00034409153657482725,0.0004163588116928757
soh_ir_temp,hidden_16_8,16-8,11,778,120,0.00044970597832149484,0.0006560590319873011,0.0003703836485631958,0.0005439532533717171
soh_process,hidden_32_16,32-16,35,2530,120,0.0004539723328464402,0.0006191219429699885,0.00037833898251543965,0.0005091389671990379
soh_only,hidden_32_16,32-16,9,1698,120,0.0004560286588766046,0.0008544080282773781,0.0003781145426880054,0.0007280478774207296
soh_process_policy,hidden_32_16,32-16,39,2658,120,0.000471317215729885,0.0006014022983219798,0.0003996258971710631,0.0005076149971530701
soh_process_policy,hidden_16_8,16-8,39,1226,120,0.00047632300359702406,0.0006226081012381888,0.0004047574211047807,0.0005289802105250007
soh_only,hidden_16_8,16-8,9,746,120,0.00047720506239840764,0.0008514067021591354,0.0003957602401139108,0.0007235118061517781
soh_process,linear,none,35,1800,120,0.0005536003887717851,0.001346721739167075,0.00044940899482147264,0.001079429449359947
soh_process_policy,linear,none,39,2000,120,0.0005680591393897543,0.0013687559020577266,0.00046672238067912986,0.0011487462262284437
