fold,battery_id,policy,torch_mlp_rmse,torch_mlp_mae,linear_rmse,linear_mae
1,1,3_6C-80PER_3_6C,0.00260799586564399,0.0018924372832225345,0.0017733228815778256,0.001352031776073659
3,3,3_6C-80PER_3_6C,0.003213154818125263,0.0027362348083261167,7.537709633649899e-05,6.674068623369723e-05
1,4,80PER_3_6C,0.0008787774364235896,0.0007134478032821789,0.0002772770879280722,0.0002376292436052596
2,6,80PER_3_6C,0.003464061248390764,0.0029896885344351176,0.0004417011428303167,0.00039303439314888335
1,7,4_8C_80PER_4_8C,0.0007489045260301784,0.0006352614430943504,0.0012987604350426234,0.0011615818359544527
4,8,4_8C_80PER_4_8C,0.0011478181957899612,0.0010165429068729282,0.0012157020865763396,0.0010657273144971157
2,12,5_6C_19PER_4_6C_NEWSTRUCTURE,0.00018128443200847316,0.00016448896643851186,0.0003911564897521122,0.00030558778792702854
3,13,5_6C_36PER_4_3C_NEWSTRUCTURE,0.00010893972303024476,8.36252917542879e-05,0.0002628660213001497,0.00021389083726862214
5,15,5_6C_36PER_4_3C_NEWSTRUCTURE,0.00014627991733947624,0.0001008261441529612,0.0003942643069786217,0.0003047748748150814
3,17,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0003057986129023941,0.00028424196811101867,7.334532223954437e-05,6.420018789530247e-05
2,18,5C_67PER_4C_NEWSTRUCTURE,0.000161694131886756,0.0001230773104180116,0.0001683702376502375,0.00015926991972783577
5,19,5_3C_54PER_4C_NEWSTRUCTURE,0.0001246144210155055,0.00010201611959928414,8.114967917969586e-05,5.8072841556107145e-05
4,20,4_8C_80PER_4_8C_NEWSTRUCTURE,0.00018143127239042604,0.00017096748677431606,0.00039814683335565677,0.00037847629887536536
5,21,5_6C_19PER_4_6C_NEWSTRUCTURE,0.00021058353250342354,0.00018492841059924102,0.00015754804214115033,0.00013062876335952821
5,22,5_6C_36PER_4_3C_NEWSTRUCTURE,9.300754831807817e-05,7.9731138976058e-05,0.00013843096733843113,0.0001183724283432186
5,23,5_6C_19PER_4_6C_NEWSTRUCTURE,6.302675596753502e-05,4.915450444968883e-05,0.0002869627619770931,0.0002673302063462657
2,26,5_3C_54PER_4C_NEWSTRUCTURE,0.000350262837571567,0.00032555910158407644,0.0001032350436450743,8.606266633222948e-05
2,27,5_6C_19PER_4_6C_NEWSTRUCTURE,0.00015156252308065775,0.00013867974179447627,0.00040957665264802713,0.0003629499968629224
3,28,5_6C_36PER_4_3C_NEWSTRUCTURE,0.00023395072640976981,0.00021163282872294076,0.00016339235448283533,0.00014300146806420333
4,29,5C_67PER_4C_NEWSTRUCTURE,0.0003040174676960681,0.00028393858501658543,0.00025890183078259665,0.00023558869550965422
2,30,3_7C_31PER_5_9C_NEWSTRUCTURE,0.0007488279649996953,0.0006805692275520415,9.23246571531842e-05,7.619033540937181e-05
4,31,5C_67PER_4C_NEWSTRUCTURE,0.00015116722529915724,0.00010870153717405628,0.0003424292257775041,0.0002892171408065325
2,32,5_3C_54PER_4C_NEWSTRUCTURE,0.00010807286897968886,9.110774542932632e-05,9.839748010954671e-05,6.5147070717404e-05
1,33,5_6C_19PER_4_6C_NEWSTRUCTURE,0.00015517959042142052,0.00012194174854812445,0.00021089745803348878,0.00015650689000491934
4,34,5_6C_36PER_4_3C_NEWSTRUCTURE,8.35281027535103e-05,5.680239890352823e-05,0.00010959329809847187,6.376186690741914e-05
3,35,3_7C_31PER_5_9C_NEWSTRUCTURE,0.0008785012663444305,0.0008107871990068816,0.00018044681388060206,0.0001288206426663274
4,36,5_3C_54PER_4C_NEWSTRUCTURE,6.445669971925589e-05,5.435860322904773e-05,0.0003067400038851571,0.0002851761074374348
1,37,5C_67PER_4C_NEWSTRUCTURE,0.0002783069641319614,0.0002445782975337352,0.00017470667665737169,0.00016269370060066458
1,38,5_3C_54PER_4C_NEWSTRUCTURE,0.00010667506577858557,6.578118125617039e-05,0.000152673166049235,0.0001405619187263185
5,39,5_6C_19PER_4_6C_NEWSTRUCTURE,0.00023811853605153646,0.00019516569929692196,0.00018139786926359535,0.00016025259748854824
3,40,5_6C_36PER_4_3C_NEWSTRUCTURE,7.549609471668027e-05,5.8335676731076094e-05,0.0002826545731449081,0.000254433810135386
1,41,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0006551445591767207,0.0005219555823714472,0.00016439135769795365,0.00014502960887277094
3,42,5C_67PER_4C_NEWSTRUCTURE,0.0002622379124925699,0.0002335004159976961,0.000171735327829692,0.00015106183194752766
3,43,5_3C_54PER_4C_NEWSTRUCTURE,0.00031860553302326405,0.00027315979459672233,9.241914131926068e-05,8.578928143314402e-05
1,44,5_6C_19PER_4_6C_NEWSTRUCTURE,5.760504605625319e-05,5.0931950318044984e-05,0.00030168813218450904,0.0002711998176607189
4,45,5_6C_36PER_4_3C_NEWSTRUCTURE,8.4875956889119e-05,7.316007915505906e-05,0.00032430595111497177,0.00029276171210246727
5,46,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0003998949091138859,0.0003443325817352161,7.388125144829748e-05,6.240590345059749e-05
4,47,5C_67PER_4C_NEWSTRUCTURE,0.0002447065106117795,0.0002206882146128919,0.0003274084003406359,0.0002743385017682898
2,48,5_3C_54PER_4C_NEWSTRUCTURE,3.814377859189005e-05,3.0312682065414263e-05,0.00013715818001963946,0.00011515877299140165
5,49,4_8C_80PER_4_8C_NEWSTRUCTURE,0.00015641639714407228,0.00011460489833552855,0.00021053129373612922,0.00016430307468811022
