window_end,use_policy,method,batteries,rmse_mean,mae_mean,r2_mean
50,False,linear_tail,40,0.002237332222774891,0.002051131614947312,-121.22673310668245
50,False,torch_mlp,40,0.00029578458311605365,0.0002486327671224418,-0.16027011333379787
50,True,linear_tail,40,0.002237332222774891,0.002051131614947312,-121.22673310668245
50,True,torch_mlp,40,0.00027185373827576855,0.00022665283342143726,-0.14201669726614927
100,False,linear_tail,40,0.0003113620227243109,0.0002665966763165495,0.6446020404751904
100,False,torch_mlp,40,0.00027896080053102653,0.00023445927088525665,0.4587449179677042
100,True,linear_tail,40,0.0003113620227243109,0.0002665966763165495,0.6446020404751904
100,True,torch_mlp,40,0.0003515784119638815,0.0002977718833937821,0.1060938397480106
150,False,linear_tail,40,0.0003076316882876764,0.0002612440702052947,0.77828983023674
150,False,torch_mlp,40,0.0004639497797198318,0.00037838623305924555,-1.3751176706657988
150,True,linear_tail,40,0.0003076316882876764,0.0002612440702052947,0.77828983023674
150,True,torch_mlp,40,0.0004471103565449621,0.00037166402270668187,-2.8472762147588773
