target,group,feature,n,pearson,pearson_p,spearman,spearman_p
soh200,all,soh1,40,0.6015715077845558,4.031598495221888e-05,-0.10412757973733584,0.5225500452812593
soh200,all,soh150,40,0.980905155806953,1.244384980584309e-28,0.9733583489681052,6.52969461925136e-26
soh200,all,fade150,40,-0.7244531823381759,1.2586892869151426e-07,-0.8562851782363978,1.8598716899846228e-12
soh200,all,soh_lin_slope,40,0.6721927446314451,2.0349472246216366e-06,0.7720450281425892,5.427716199148713e-09
soh200,all,soh_quad_curv,40,0.17648278007368307,0.27599533303610685,0.28217636022514075,0.07771603669148347
soh200,all,soh_fit_resid_std,40,0.06407198276541268,0.6944811758447471,-0.1681050656660413,0.2997927743804373
soh200,all,pw_a,30,-0.6608187290683648,7.044750574623903e-05,-0.6182424916573971,0.00027161951235504865
soh200,all,pw_b,30,0.32998151005113924,0.0749376124677731,0.3971078976640712,0.029790260179653166
soh200,all,exp_a,40,-0.5868890338351165,6.879517859888203e-05,-0.926454033771107,1.0366331117597358e-17
soh200,all,exp_b,40,0.0833082607856279,0.6093020382450273,-0.676360225140713,1.663763532561632e-06
soh200,all,exp_c,40,0.6032423960159361,3.7873771248112366e-05,0.9365853658536587,6.783173630593183e-19
soh200,all,d1_50,40,0.5902632179567832,6.098443705522015e-05,0.36003752345215767,0.022489400689603735
soh200,all,d50_100,40,0.7647821422327282,9.189962843776125e-09,0.9114446529080676,3.0919225836161877e-16
soh200,all,d100_150,40,0.7364633119729052,6.066307329537471e-08,0.8943714821763603,7.562697221625317e-15
soh200,all,soh_slope_1_50,40,0.2194081679705494,0.1737353858882135,0.2228893058161351,0.16683746677779349
soh200,all,ir_mean,40,0.253372143315715,0.11467673363863548,0.40881801125703565,0.008814588753886028
soh200,all,ir_std,40,-0.09719195027424538,0.5507616826233546,-0.24202626641651034,0.13241649490984614
soh200,all,ir_slope,40,-0.3401942741877597,0.031723781079286674,-0.2178236397748593,0.1769419619126445
soh200,all,ir_rel_end,40,-0.40057246165447513,0.010426275545664623,-0.04859287054409006,0.7658872246934965
soh200,all,tavg_mean,40,-0.05030325972700222,0.7578901601073281,-0.26885553470919327,0.09344120478257481
soh200,all,tavg_std,40,-0.3469180502145881,0.028297145090271685,-0.5170731707317073,0.0006346199504321481
soh200,all,tavg_slope,40,0.05667547467881954,0.7283207109955153,-0.19230769230769232,0.23450711529593482
soh200,all,ct_mean,40,-0.15009585162409533,0.3552576217074118,-0.10093808630393997,0.5354347430599116
soh200,all,ct_std,40,-0.4227446054944169,0.006575656616745858,0.015384615384615387,0.9249336690681943
soh200,all,ct_slope,40,-0.5706877376256638,0.00012049571180280546,-0.27879924953095686,0.08149158941781884
soh200,all,C1,40,0.4506592228949497,0.003520210536147462,-0.03198388316298383,0.8446732394164715
soh200,all,Q1,40,-0.07396087965180681,0.6501464135103815,0.2718783334239896,0.08967415458139723
soh200,all,C2,40,-0.46862800635024177,0.0022889797840063048,-0.27424297254233665,0.08680999243952206
soh200,all,initial_capacity,40,0.019702055372903773,0.9039547557385152,0.26735459662288935,0.09535639522531414
soh200,all,dataset_id,40,0.06621421263735551,0.6847851396939951,0.17719249904582862,0.2740378481805387
soh200,all,t1,40,-0.1613744561525555,0.3198347528080446,0.2187353337678569,0.1750918567988631
soh200,all,t2,40,0.15844303195001894,0.3288205828724599,-0.2274587747237321,0.1580858661903789
soh200,all,t12,40,-0.0962154512891781,0.5547906901419815,0.0022804726370237037,0.9888574060888724
soh200,all,avgC80,40,0.04634873185814553,0.776416189157856,-0.055111422061406165,0.7355444964443091
soh200,all,C1_over_C2,40,0.6184887407598076,2.1061213803282947e-05,0.2657514977411955,0.09743511454765723
fade200,all,soh1,40,0.10613516677332407,0.5145191279586548,0.4493433395872421,0.003629692936650955
fade200,all,soh150,40,-0.6050064354911936,3.5442215299860396e-05,-0.8348968105065667,2.1327026362311397e-11
fade200,all,fade150,40,0.9884329407341887,9.703607505411422e-33,0.9410881801125704,1.741309967726396e-19
fade200,all,soh_lin_slope,40,-0.9413983393645831,1.5794341242886854e-19,-0.9339587242026268,1.433104628675965e-18
fade200,all,soh_quad_curv,40,-0.10234343030697164,0.5297386453345904,0.026641651031894937,0.8703748221661173
fade200,all,soh_fit_resid_std,40,-0.0328080261314149,0.8407216795075234,-0.035272045028142594,0.8289306460066383
fade200,all,pw_a,30,0.9341301779423488,4.72495016581633e-14,0.8086763070077864,6.41438035476591e-08
fade200,all,pw_b,30,-0.6270994250086248,0.00020850345072111746,-0.6449388209121245,0.00011935200913233254
fade200,all,exp_a,40,0.7015266488283737,4.588796415555579e-07,0.8883677298311445,2.0482976358858066e-14
fade200,all,exp_b,40,-0.03903764572730714,0.8109832544980107,0.8814258911819888,6.053433711027385e-14
fade200,all,exp_c,40,-0.691717225627777,7.697914407657799e-07,-0.8836772983114447,4.291891346375252e-14
fade200,all,d1_50,40,-0.8795660346243901,8.000628384716228e-14,-0.5637898686679175,0.00015163321554905796
fade200,all,d50_100,40,-0.9830685279387582,1.2907660164435964e-29,-0.8664165103189494,5.086188031194825e-13
fade200,all,d100_150,40,-0.9844886338633564,2.4734955748590476e-30,-0.8538461538461539,2.5041277092449163e-12
fade200,all,soh_slope_1_50,40,-0.4136892714111351,0.007966725077021427,-0.5401500938086304,0.0003211763879839961
