model,term,coef,std_error,p_value,ci_low,ci_high
main_EH_EL_cluster,Intercept,-0.436976340338741,0.019556388849572098,1.1255944856900093e-20,-0.475306158151563,-0.398646522525919
main_EH_EL_cluster,E_L,0.0010170244725899898,5.577007634816007e-05,3.9646618206543216e-18,0.000907717131532547,0.0011263318136474326
main_EH_EL_cluster,E_H,0.0013561875480725333,3.9221280442111376e-05,2.5063030328503622e-26,0.0012793152509784499,0.0014330598451666168
main_EH_EL_hc3,Intercept,-0.436976340338741,0.11084469741165626,0.0004288149999612716,-0.6542279551428274,-0.21972472553465458
main_EH_EL_hc3,E_L,0.0010170244725899898,0.00025623965324895456,0.0003981098775885212,0.0005148039808110069,0.0015192449643689726
main_EH_EL_hc3,E_H,0.0013561875480725333,0.0003428539918929619,0.00041324580654432467,0.0006842060720065403,0.0020281690241385265
nested_EH_cluster,Intercept,-0.06404260682277385,0.023986020619266937,0.011818340653314474,-0.11105434336897217,-0.01703087027657553
nested_EH_cluster,E_H,0.0005052793173800924,0.0001788763857728995,0.008080484254041748,0.00015468804358051652,0.0008558705911796684
nested_EH_hc3,Intercept,-0.06404260682277385,0.02540041111460261,0.01686880035908273,-0.11382649779990586,-0.014258715845641846
nested_EH_hc3,E_H,0.0005052793173800924,0.00019081468818126288,0.012464362609409599,0.00013128940082357651,0.0008792692339366084
simple_Chigh_cluster,Intercept,-0.0640426068227799,0.023986020619265906,0.01181834065330394,-0.11105434336897621,-0.0170308702765836
simple_Chigh_cluster,C_high,0.015158379521404104,0.005366291573186727,0.00808048425403405,0.004640641307417332,0.025676117735390875
simple_Chigh_hc3,Intercept,-0.0640426068227799,0.02540041111460269,0.016868800359073538,-0.11382649779991207,-0.014258715845647738
simple_Chigh_hc3,C_high,0.015158379521404104,0.0057244406454378905,0.012464362609402653,0.003938682024708616,0.02637807701809959
baseline_raw_cluster,Intercept,0.1132844102263081,0.014153533918012317,6.2017977161235426e-09,0.08554399349303787,0.14102482695957833
baseline_raw_cluster,C1,-0.016923603100034136,0.001756501640826776,1.0802681067963078e-10,-0.020366283054840128,-0.013480923145228146
baseline_raw_cluster,Q1,-0.00028079760706489564,1.7737522972713058e-05,4.148977819067509e-16,-0.0003155625132663651,-0.0002460327008634262
baseline_raw_cluster,C2,-0.001554110998602276,0.001305243202538616,0.24312041297790027,-0.004112340666643683,0.0010041186694391309
baseline_raw_hc3,Intercept,0.1132844102263081,0.029801383608731077,0.0006572087210195953,0.054874771663732884,0.1716940487888833
baseline_raw_hc3,C1,-0.016923603100034136,0.004525537859656247,0.0007769321038620392,-0.02579349431563286,-0.00805371188443541
baseline_raw_hc3,Q1,-0.00028079760706489564,6.484767477951345e-05,0.00015305567940276772,-0.00040789671411390835,-0.0001536985000158829
baseline_raw_hc3,C2,-0.001554110998602276,0.0010171376690836333,0.137007021939961,-0.0035476641973252168,0.0004394422001206648
main_EH_EL_policy_wls,Intercept,-0.4369763403393811,0.012165800629009429,4.74579012597439e-05,-0.4608208714153343,-0.4131318092634279
main_EH_EL_policy_wls,E_L,0.0010170244725916937,3.2933375664843374e-05,7.460162072428946e-05,0.0009524762423992728,0.0010815727027841146
main_EH_EL_policy_wls,E_H,0.00135618754807407,2.9574982928421583e-05,2.2831895578053197e-05,0.0012982216466909768,0.0014141534494571634
nested_EH_policy_wls,Intercept,-0.06404260682277896,0.011714727690131415,0.005445592240442776,-0.08700305118413063,-0.04108216246142729
nested_EH_policy_wls,E_H,0.0005052793173801296,8.548710952634764e-05,0.004101891032907159,0.00033772766156605727,0.000672830973194202
simple_Chigh_policy_wls,Intercept,-0.06404260682277485,0.011714727690131608,0.005445592240444356,-0.0870030511841269,-0.0410821624614228
simple_Chigh_policy_wls,C_high,0.015158379521402993,0.002564613285790472,0.004101891032908291,0.01013182984698074,0.02018492919582525
baseline_raw_policy_wls,Intercept,0.11328441022625753,0.013865214616945459,0.014651624417875065,0.08610908893912611,0.14045973151338895
baseline_raw_policy_wls,C1,-0.016923603100029175,0.001440098874865285,0.007163295874663738,-0.019746145028941786,-0.014101061171116562
baseline_raw_policy_wls,Q1,-0.00028079760706482007,2.6633082137862786e-05,0.008876533062169744,-0.00033299748885232816,-0.00022859772527731198
baseline_raw_policy_wls,C2,-0.001554110998597492,0.001352601775954196,0.36943036579812827,-0.004205161764892632,0.0010969397676976475
