policy_a,policy_b,u,p_raw,p_holm
5_6C_36PER_4_3C,5_3C_54PER_4C,8.0,0.04091355298449677,0.6137032947674516
5_6C_36PER_4_3C,3_7C_31PER_5_9C,14.0,0.057039874249055565,0.798558239486778
5_3C_54PER_4C,3_7C_31PER_5_9C,14.0,0.057039874249055565,0.798558239486778
5_6C_19PER_4_6C,3_7C_31PER_5_9C,12.0,0.06675301516963451,0.8010361820356142
5_6C_36PER_4_3C,4_8C_80PER_4_8C,2.0,0.06824748837800128,0.8010361820356142
5C_67PER_4C,3_7C_31PER_5_9C,10.0,0.08136112923407546,0.8136112923407546
4_8C_80PER_4_8C,5_6C_19PER_4_6C,16.0,0.09328995618360462,0.8396096056524416
4_8C_80PER_4_8C,5_3C_54PER_4C,18.0,0.11061207374852304,0.8848965899881843
4_8C_80PER_4_8C,3_7C_31PER_5_9C,6.0,0.14891467317876572,1.0
5_3C_54PER_4C,5_6C_19PER_4_6C,31.0,0.17473582321524717,1.0
4_8C_80PER_4_8C,5C_67PER_4C,11.0,0.37109336952269756,1.0
5C_67PER_4C,5_3C_54PER_4C,13.0,0.5159516963585487,1.0
5C_67PER_4C,5_6C_19PER_4_6C,19.0,0.5228166539190886,1.0
5_6C_36PER_4_3C,5_6C_19PER_4_6C,23.0,0.8303242576557953,1.0
5_6C_36PER_4_3C,5C_67PER_4C,17.5,1.0,1.0
