model,n,k,r_squared,adj_r_squared,aic,bic
main_EH_EL_cluster,34,3,0.9344607165807727,0.930232375715016,-419.5371805375697,-414.9580989637212
main_EH_EL_hc3,34,3,0.9344607165807727,0.930232375715016,-419.5371805375697,-414.9580989637212
nested_EH_cluster,34,2,0.6529078494840078,0.642061219780383,-364.86120019147927,-361.80847914224694
nested_EH_hc3,34,2,0.6529078494840078,0.642061219780383,-364.86120019147927,-361.80847914224694
simple_Chigh_cluster,34,2,0.6529078494840082,0.6420612197803834,-364.8612001914793,-361.808479142247
simple_Chigh_hc3,34,2,0.6529078494840082,0.6420612197803834,-364.8612001914793,-361.808479142247
baseline_raw_cluster,34,4,0.911380154191356,0.9025181696104916,-407.279172589134,-401.17373049066936
baseline_raw_hc3,34,4,0.911380154191356,0.9025181696104916,-407.279172589134,-401.17373049066936
main_EH_EL_policy_wls,6,3,0.9978650940758362,0.9964418234597271,-84.51129164379975,-85.13601323611559
nested_EH_policy_wls,6,2,0.8198069865576885,0.7747587331971106,-59.89765569656346,-60.31413675810735
simple_Chigh_policy_wls,6,2,0.8198069865576716,0.7747587331970895,-59.89765569656291,-60.3141367581068
baseline_raw_policy_wls,6,4,0.989025846418098,0.972564616045245,-72.68857013466189,-73.52153225774967
