complexity,loss,equation,score,sympy_format,lambda_format
1,51.02638867937052,C2,0.0,C2,PySRFunction(X=>C2)
3,49.38861213072008,28.453610948164926 / C1,0.01631152502112184,28.453610948164926/C1,PySRFunction(X=>28.453610948164926/C1)
5,21.659481087457333,(266.64952297220816 / C1) + -46.850642810774474,0.41213829492240633,-46.850642810774474 + 266.64952297220816/C1,PySRFunction(X=>-46.850642810774474 + 266.64952297220816/C1)
7,4.103391429951138,((354.96955557538615 - Q1) / C1) + -54.574553623224716,0.8318147371404254,-54.574553623224716 + (354.96955557538615 - Q1)/C1,PySRFunction(X=>-54.574553623224716 + (354.96955557538615 - Q1)/C1)
9,3.564452562183229,(((6016.576598823892 / C1) + -2378.584780287208) / C1) - -237.04499811353037,0.07040166337196549,-1*(-237.04499811353037) + (-2378.584780287208 + 6016.576598823892/C1)/C1,PySRFunction(X=>-1*(-237.04499811353037) + (-2378.584780287208 + 6016.576598823892/C1)/C1)
11,3.456273414081863,182.69689943487265 - ((((Q1 + -4929.601567432437) / C1) + 1875.2909890686553) / C1),0.015409761198261275,182.69689943487265 - (1875.2909890686553 + (Q1 - 4929.601567432437)/C1)/C1,PySRFunction(X=>182.69689943487265 - (1875.2909890686553 + (Q1 - 4929.601567432437)/C1)/C1)
13,3.380737093795095,197.679636109613 - (C2 + ((1985.950977615294 + ((Q1 + -5215.5498672802905) / C1)) / C1)),0.011048599938071097,197.679636109613 - (C2 + (1985.950977615294 + (Q1 - 5215.5498672802905)/C1)/C1),PySRFunction(X=>197.679636109613 - (C2 + (1985.950977615294 + (Q1 - 5215.5498672802905)/C1)/C1))
15,3.350166238908641,((((((Q1 * -2.047704624456843) + 4067.8196924508993) / C1) + -1454.7265508354042) / C1) - C2) + 140.31740574175768,0.004541896323366417,-C2 + 140.31740574175768 + (-1454.7265508354042 + (4067.8196924508993 + Q1*(-2.047704624456843))/C1)/C1,PySRFunction(X=>-C2 + 140.31740574175768 + (-1454.7265508354042 + (4067.8196924508993 + Q1*(-2.047704624456843))/C1)/C1)
17,3.3443170385836574,(((((4558.10594508222 / C1) + -1695.4739625003945) / C1) - (C2 * 1.4944000510603264)) - -170.00538748061987) - (Q1 * 0.06928927638259876),0.0008737346216248679,-1.4944000510603264*C2 - 0.06928927638259876*Q1 - 1*(-170.00538748061987) + (-1695.4739625003945 + 4558.10594508222/C1)/C1,PySRFunction(X=>-1.4944000510603264*C2 - 0.06928927638259876*Q1 - 1*(-170.00538748061987) + (-1695.4739625003945 + 4558.10594508222/C1)/C1)
19,3.3443163828876097,(0.9960199312399206 * (((4572.366968052281 / C1) + -1700.4706560766526) / C1)) - (((C2 * 1.4943218782868628) - 169.8177342031218) - (Q1 * -0.06942078578963758)),9.803139239934093e-08,-(C2*1.4943218782868628 - (-0.06942078578963758)*Q1 - 1*169.8177342031218) + 0.9960199312399206*(-1700.4706560766526 + 4572.366968052281/C1)/C1,PySRFunction(X=>-(C2*1.4943218782868628 - (-0.06942078578963758)*Q1 - 1*169.8177342031218) + 0.9960199312399206*(-1700.4706560766526 + 4572.366968052281/C1)/C1)
