battery_id,global_id,dataset_id,policy,C1,Q1,C2
13,98,3,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3
15,100,3,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3
17,102,3,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8
18,103,3,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0
19,104,3,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0
20,105,3,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8
21,106,3,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6
22,107,3,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3
23,108,3,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6
26,112,3,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0
27,113,3,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6
28,114,3,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3
29,115,3,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0
30,116,3,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31,5.9
31,119,3,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0
32,120,3,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0
33,121,3,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6
34,122,3,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3
35,123,3,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31,5.9
36,125,3,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0
37,128,3,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0
38,129,3,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0
39,130,3,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6
40,131,3,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3
42,133,3,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0
43,134,3,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0
44,135,3,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6
45,136,3,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3
48,139,3,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0
49,140,3,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8
