battery_id,policy
1,3_6C-80PER_3_6C
2,3_6C-80PER_3_6C
3,3_6C-80PER_3_6C
4,80PER_3_6C
5,80PER_3_6C
6,80PER_3_6C
7,4_8C_80PER_4_8C
8,4_8C_80PER_4_8C
9,4_8C_80PER_4_8C
10,5C_67PER_4C_NEWSTRUCTURE
11,5_3C_54PER_4C_NEWSTRUCTURE
12,5_6C_19PER_4_6C_NEWSTRUCTURE
13,5_6C_36PER_4_3C_NEWSTRUCTURE
14,5_6C_19PER_4_6C_NEWSTRUCTURE
15,5_6C_36PER_4_3C_NEWSTRUCTURE
16,3_7C_31PER_5_9C_NEWSTRUCTURE
17,4_8C_80PER_4_8C_NEWSTRUCTURE
18,5C_67PER_4C_NEWSTRUCTURE
19,5_3C_54PER_4C_NEWSTRUCTURE
20,4_8C_80PER_4_8C_NEWSTRUCTURE
21,5_6C_19PER_4_6C_NEWSTRUCTURE
22,5_6C_36PER_4_3C_NEWSTRUCTURE
23,5_6C_19PER_4_6C_NEWSTRUCTURE
24,5_6C_36PER_4_3C_NEWSTRUCTURE
25,4_8C_80PER_4_8C_NEWSTRUCTURE
26,5_3C_54PER_4C_NEWSTRUCTURE
27,5_6C_19PER_4_6C_NEWSTRUCTURE
28,5_6C_36PER_4_3C_NEWSTRUCTURE
29,5C_67PER_4C_NEWSTRUCTURE
30,3_7C_31PER_5_9C_NEWSTRUCTURE
31,5C_67PER_4C_NEWSTRUCTURE
32,5_3C_54PER_4C_NEWSTRUCTURE
33,5_6C_19PER_4_6C_NEWSTRUCTURE
34,5_6C_36PER_4_3C_NEWSTRUCTURE
35,3_7C_31PER_5_9C_NEWSTRUCTURE
36,5_3C_54PER_4C_NEWSTRUCTURE
37,5C_67PER_4C_NEWSTRUCTURE
38,5_3C_54PER_4C_NEWSTRUCTURE
39,5_6C_19PER_4_6C_NEWSTRUCTURE
40,5_6C_36PER_4_3C_NEWSTRUCTURE
41,4_8C_80PER_4_8C_NEWSTRUCTURE
42,5C_67PER_4C_NEWSTRUCTURE
43,5_3C_54PER_4C_NEWSTRUCTURE
44,5_6C_19PER_4_6C_NEWSTRUCTURE
45,5_6C_36PER_4_3C_NEWSTRUCTURE
46,4_8C_80PER_4_8C_NEWSTRUCTURE
47,5C_67PER_4C_NEWSTRUCTURE
48,5_3C_54PER_4C_NEWSTRUCTURE
49,4_8C_80PER_4_8C_NEWSTRUCTURE
