policy_left,policy_right,n_left,n_right,median_difference_left_minus_right,U,p_raw,p_holm
4_8C_80PER_4_8C,5C_67PER_4C,5,6,0.0017121290384913834,22.0,0.24675324675324672,1.0
4_8C_80PER_4_8C,5_3C_54PER_4C,5,7,0.0015100410207109505,24.0,0.3434343434343435,1.0
4_8C_80PER_4_8C,5_6C_19PER_4_6C,5,7,0.003031576791004964,28.0,0.10606060606060606,0.9545454545454546
4_8C_80PER_4_8C,5_6C_36PER_4_3C,5,7,0.002774925334818934,26.0,0.20202020202020204,1.0
4_8C_80PER_4_8C,3_7C_31PER_5_9C,5,2,0.031053101548564888,8.0,0.38095238095238093,1.0
5C_67PER_4C,5_3C_54PER_4C,6,7,-0.00020208801778043295,22.0,0.9452214452214451,1.0
5C_67PER_4C,5_6C_19PER_4_6C,6,7,0.0013194477525135806,39.0,0.008158508158508158,0.12237762237762237
5C_67PER_4C,5_6C_36PER_4_3C,6,7,0.0010627962963275506,28.0,0.36596736596736595,1.0
5C_67PER_4C,3_7C_31PER_5_9C,6,2,0.029340972510073504,12.0,0.07142857142857142,0.7222222222222222
5_3C_54PER_4C,5_6C_19PER_4_6C,7,7,0.0015215357702940135,42.0,0.026223776223776224,0.36713286713286714
5_3C_54PER_4C,5_6C_36PER_4_3C,7,7,0.0012648843141079835,35.0,0.20862470862470864,1.0
5_3C_54PER_4C,3_7C_31PER_5_9C,7,2,0.029543060527853937,14.0,0.05555555555555555,0.7222222222222222
5_6C_19PER_4_6C,5_6C_36PER_4_3C,7,7,-0.00025665145618603,19.0,0.534965034965035,1.0
5_6C_19PER_4_6C,3_7C_31PER_5_9C,7,2,0.028021524757559924,14.0,0.05555555555555555,0.7222222222222222
5_6C_36PER_4_3C,3_7C_31PER_5_9C,7,2,0.028278176213745954,14.0,0.05555555555555555,0.7222222222222222
